NEWID,GENDER_F,GENDER_M,INTAKE_DSA,INTAKE_DSA (CCA),INTAKE_IP (X),INTAKE_IP (Y),INTAKE_JAE Ordinary Admission,SEC SCHOOL_BUKIT PANJANG GOVT. HIGH SCHOOL,SEC SCHOOL_CATHOLIC HIGH SCHOOL,SEC SCHOOL_CHIJ ST. NICHOLAS GIRLS' SCHOOL,SEC SCHOOL_CHUNG CHENG HIGH SCHOOL (MAIN),SEC SCHOOL_METHODIST GIRLS' SCHOOL (SECONDARY),SEC SCHOOL_NAN HUA HIGH SCHOOL,SEC SCHOOL_SCHOOL X,SEC SCHOOL_SCHOOL Y,SEC SCHOOL__Minority_Sch,KI,FM2,CP2,PH2,CH2,BY2,EL2,ELL2,EC2,EH2,EG2,S1_2,S2_2,S3_2,S4_2,S5_2,EC1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,S1_3-MOE,Foreign_Lang,H1_Arts,H1_Sci,S2_3_EC3-MOE,MA2,PTS,NO OF CCA,GP/KI,H1,H3,GP/KI_C1,MA2_C1,H1_C1,PTS_C1,PTS_Sec4,AM,EM,CIP HOURS,CCA President,CCA Sec-Treas,CCA Role,CT Rep,CIP Leader,CIP Organiser
20180001,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,85,1,2,0,5,3,62.3,0,70,0.235309487,1,1,13.8,0,0,0,0,0,0
20180002,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,80,1,3,0,5,4,71,0,72.5,-0.827665355,1,1,40,0,0,0,0,0,0
20180003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5,57.5,1,3,0,5,3,40.5,0,45,0.047531602,1,1,12.5,0,0,1,0,0,0
20180005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.5,65,1,4,0,5,4,68.8,0,58.75,0.335696438,1,1,64.5,0,0,0,0,0,1
20180006,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.5,87.5,1,1,0,2,1,61.9,0,75,-0.245984459,1,1,52,0,0,0,0,0,0
20180007,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.5,81.25,1,2,0,5,2,77.8,0,71.25,-0.313579715,1,1,14,0,0,0,0,0,0
20180008,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,70,2,3,0,5,3,42.6,0,60,0.68308752,5,1,153.8,0,0,1,1,0,1
20180009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,78.75,2,2,0,5,3,46.5,0,45,-0.356913073,1,1,264.8,0,0,1,1,0,1
20180010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,77.5,1,3,0,5,3,55.5,0,52.5,0.134198318,1,1,120.8,1,0,0,0,0,0
20180011,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,82.5,1,1,0,5,3,54.9,0,58.75,-1.151357971,1,1,107.5,0,1,0,0,0,0
20180012,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,78.75,0,4,0,5,6,65.3,0,60,0.335696438,1,1,188,0,0,0,0,0,1
20180013,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,49,81.25,1,2,0,5,3,58.6,0,71.25,-0.963580086,1,1,159.3,0,0,0,0,0,1
20180014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,73.75,1,3,0,5,3,54.8,0,56.25,0.335696438,1,1,23.3,0,0,0,0,0,0
20180015,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,85,2,2,0,3,3,76.1,0,76.25,-0.245984459,1,1,36,0,0,0,0,0,1
20180016,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.5,81.25,1,1,2,5,1,62.6,2,71.25,-0.429135337,1,1,81.5,1,0,0,0,1,0
20180017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,87.5,2,2,0,2,2,69.7,0,78.75,-0.920246728,1,1,138,1,0,1,0,0,1
20180018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.5,82.5,1,2,0,2,3,52.2,0,63.75,0.553087446,1,1,33,0,0,0,0,0,0
20180020,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,71.25,2,2,0,5,4,51.2,0,57.5,0.914198763,2,2,102.5,1,1,0,0,0,0
20180021,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,86.25,1,3,0,5,4,69.7,0,71.25,-0.313579715,1,1,116.5,0,0,0,0,0,1
20180022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,86.25,1,2,0,3,2,69.1,0,73.75,-0.674691032,1,1,63,0,0,0,0,0,0
20180023,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.5,80,1,3,0,5,4,47,0,48.75,0.917377334,1,1,108.6,0,0,1,0,0,1
20180024,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,90,1,1,0,5,2,56.9,0,73.75,-0.588024316,1,1,311.5,1,0,0,0,1,0
20180025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,52.5,1,6,0,5,5,53.7,0,50,1.087532195,1,1,54.8,1,0,0,0,0,0
20180026,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,80,1,4,0,5,2,64.1,0,72.5,-0.827665355,1,1,107.8,0,0,0,0,0,0
20180028,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86.5,86.25,1,4,0,2,5,87.2,0,73.75,0.335696438,1,1,50,0,0,0,0,0,0
20180029,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,77.5,2,3,0,5,4,54.3,0,48.75,-0.588024316,1,1,80,1,0,0,0,0,1
20180030,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,85,2,2,0,5,1,66.8,0,72.5,-0.588024316,2,1,126,1,1,0,0,0,0
20180031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49.5,62.5,1,3,1,5,3,48.1,0,56.25,0.68308752,2,1,128,1,0,0,0,1,0
20180032,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75,1,4,0,5,4,43,0,46.25,1.246421174,2,1,167.5,0,0,0,0,0,1
20180033,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,81.25,2,2,0,5,2,56.1,0,66.25,-0.920246728,1,1,175.5,1,1,0,0,0,0
20180034,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,82.5,1,4,0,5,3,57,0,65,-0.827665355,1,1,18,0,0,0,0,0,0
20180035,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86,88.75,2,2,0,5,1,80.3,0,80,-1.396913666,1,1,214.8,0,0,1,1,1,0
20180036,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,87.5,2,2,0,5,2,54.1,0,71.25,-0.827665355,1,1,74.5,0,1,0,1,0,1
20180037,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,65,1,2,2,5,2,47.2,0,48.75,0.335696438,1,1,89,1,0,0,0,0,0
20180038,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,51.25,1,2,0,5,3,38.4,0,30,0.191976129,1,1,93.3,1,0,0,0,0,0
20180039,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.5,75,2,1,0,1,2,48.6,0,53.75,1.499058231,2,2,69.5,0,0,0,0,0,0
20180040,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,80,1,3,0,5,3,70.3,0,70,-0.313579715,1,1,23.5,0,0,0,0,0,0
20180041,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.5,70,1,2,0,5,4,32.3,0,53.75,-0.827665355,1,1,74,0,0,0,0,0,0
20180042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,62.5,1,3,3,5,3,48,3,62.5,1.49197687,2,2,69,0,0,0,0,0,0
20180043,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,80,1,2,0,5,3,49.9,0,66.25,-0.827665355,1,1,80.3,0,1,0,1,0,1
20180044,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,78.75,1,3,2,5,4,57.8,2,65,0.46642073,1,1,45.5,0,1,0,0,0,1
20180045,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,83.75,3,3,0,5,4,59.1,0,70,-0.270246357,1,1,270,0,0,1,1,1,0
20180046,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,37,55,1,2,2,3,3,36.5,4,38.75,2.647533085,6,6,8.5,0,1,1,0,0,0
20180047,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61.5,78.75,1,3,2,5,2,72.9,1,78.75,-1.25246914,1,1,2,0,0,0,0,0,0
20180049,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81.5,86.25,1,2,0,3,3,72.5,0,75,-0.674691032,1,1,55,0,0,0,0,0,0
20180050,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,57,58.75,1,5,2,5,6,54.3,5,37.5,2.214199504,1,1,131.5,0,0,0,0,0,1
20180051,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38.5,62.5,2,3,0,5,3,53,0,65,-0.515802053,1,1,107.3,1,0,0,0,0,1
20180052,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,81.25,1,2,0,5,4,43.1,0,58.75,-0.245984459,2,2,57.3,0,0,0,0,0,1
20180053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,82.5,2,4,0,5,5,60,0,62.5,-0.674691032,1,1,163,0,0,0,0,0,1
20180054,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33.75,0,4,0,5,5,41,0,37.5,0.335696438,1,1,11.5,0,0,0,0,0,0
20180055,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,83.75,1,2,0,5,5,79.1,0,72.5,-0.245984459,1,1,6,0,0,0,0,0,0
20180056,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.5,60,1,4,0,5,4,48.3,0,55,1.318643438,3,2,13.5,0,0,0,0,0,0
20180057,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,81.25,2,3,0,5,4,51.3,0,62.5,-0.212468546,1,1,110,1,0,1,0,0,1
20180058,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86.25,3,2,0,5,3,67.1,0,76.25,-0.827665355,1,1,61.5,0,0,1,0,0,0
20180059,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,68.75,2,4,2,5,3,50.8,3,47.5,1.246421174,4,2,133.8,0,0,1,1,0,1
20180060,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,55,2,4,0,5,5,35.9,0,30,0.335696438,1,1,63.5,0,0,0,0,1,0
20180061,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40.5,67.5,1,3,0,5,2,60.1,0,71.25,-0.848024464,1,1,83.3,0,0,0,0,0,1
20180062,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,75,1,2,0,5,4,49.3,0,57.5,-0.530246505,1,1,24,0,0,0,0,0,0
20180063,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,76.25,2,4,0,5,4,50.7,0,60,0.957532121,2,1,83.8,0,1,0,0,0,0
20180064,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,82.5,1,2,0,5,5,64,0,68.75,-0.245984459,1,1,43,0,0,0,0,0,1
20180065,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,86.25,2,1,0,5,2,71.4,0,70,-0.530246505,2,1,76.8,0,0,0,0,0,0
20180066,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5,71.25,1,2,0,5,3,52,0,56.25,0.596420804,3,1,61.8,0,0,0,0,0,1
20180067,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,60,1,2,3,5,5,48.4,0,32.5,1.499058231,1,2,58,0,0,0,0,0,1
20180068,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,49.5,55,1,4,2,5,6,30.4,2,28.75,1.65086585,5,2,62,0,0,0,0,0,0
20180069,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,87.5,1,2,0,5,4,60.3,0,67.5,-0.746913296,1,1,39,0,0,1,0,0,1
20180070,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,45,1,5,0,5,5,42.3,0,35,0.335696438,1,1,119,0,0,0,0,0,0
20180071,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,78.75,2,2,0,5,3,59.5,0,62.5,-0.827665355,1,1,84,1,1,0,0,0,1
20180072,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,40,56.25,1,4,2,5,5,35.7,0,37.5,-0.198024094,1,1,42,0,0,1,0,0,1
20180073,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.5,80,1,2,0,5,3,43.6,0,52.5,-0.241357452,3,1,189.5,0,0,0,0,0,1
20180074,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,78.75,1,3,0,5,4,47.3,0,53.75,0.928643215,1,1,56,0,0,0,1,0,1
20180075,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5,87.5,1,3,0,5,2,67.1,0,77.5,-0.761357748,1,1,107.3,1,0,0,0,1,0
20180076,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,77.5,1,4,0,5,4,51.2,0,60,0.335696438,1,1,166.5,0,0,0,0,1,0
20180077,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,83.75,1,3,0,5,3,51,0,66.25,-0.245984459,1,1,82.9,0,0,1,0,0,1
20180078,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.5,50,1,4,3,5,5,24.6,4,33.75,2.30086622,4,2,15,0,0,0,0,0,0
20180080,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,76.25,1,4,0,5,5,61.5,0,65,-0.245984459,1,1,44,0,0,0,0,0,0
