SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
1,20180001,M,260,NA,IP (X),SCHOOL X,,0.56,,0.69,,,0.78,0.71,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,1
2,20180002,F,253,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.44,,0.85,,,0.8,0.68,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
3,20180003,F,262,NA,IP (Y),SCHOOL Y,,0.66,,0.16,,,0.27,0.22,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
4,20180004,F,242,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,,,0.14,,,,,,,,MC,,,0.02,,MC,,,,,,,,,,,,MC,,,,,,,1
5,20180005,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.27,,0.81,,,0.27,0.53,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
6,20180006,M,246,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0.58,,,0.68,,,,0.76,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,20180007,M,261,NA,IP (X),SCHOOL X,,0.86,,0.93,,,0.48,0.5,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,1
8,20180008,M,263,NA,IP (X),SCHOOL X,,0.78,,0.2,,,,0.64,0.47,,,,0.37,,,,,,,,,,,,,,,,,,,,,,2
9,20180009,F,251,NA,IP (Y),SCHOOL Y,,0.63,,0.3,,,,0.13,0.05,,,,0.58,,,,,,,,,,,,,,,,,,,,,,2
10,20180010,F,247,NA,IP (Y),SCHOOL Y,,0.63,,0.53,,,,0.15,0.14,,,,0.63,,,,,,,,,,,,,,,,,,,,,,1
11,20180011,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.52,,,,0.33,0.42,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
12,20180012,F,256,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.05,,0.75,,,,0.68,0.4,,,,0.43,,,,,,,,,,,,,,,,,,,,,,0
13,20180013,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.61,,,,0.77,0.91,,,,,,,,,,,,,0.7,,,,,,,,,,,,,1
14,20180014,F,240,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.63,,0.51,,,,0.25,0.34,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
15,20180015,M,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.68,,0.91,,,0.85,0.89,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,2
16,20180016,F,257,NA,IP (Y),SCHOOL Y,0.54,,,0.69,,,0.62,0.48,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,1
17,20180017,F,260,NA,IP (Y),SCHOOL Y,,0.91,,0.83,,,0.91,0.88,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,2
18,20180018,F,259,NA,IP (Y),SCHOOL Y,,0.81,,0.45,,,,0.54,0.48,,,,,,,,,,0.37,,,,,,,,,,,,,,,,1
19,20180019,F,244,NA,DSA,CHIJ SECONDARY (TOA PAYOH),,0.66,,0.07,,,0.26,,,0.65,,,,,,,,,0.68,,,,,,,,,,,,,,,,1
20,20180020,M,252,NA,IP (X),SCHOOL X,,0.25,,0.42,,,,0.35,0.39,,,,0.95,,,,,,,,,,,,,,,,,,,,,,2
21,20180021,M,254,NA,IP (X),SCHOOL X,,0.41,,0.83,,,0.74,0.75,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,1
22,20180022,M,261,NA,IP (X),SCHOOL X,,0.96,,0.82,,,,0.43,0.89,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
23,20180023,F,245,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,,0.41,,0.31,,,,0.33,0.13,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
24,20180024,M,256,NA,IP (X),SCHOOL X,,0.88,,0.57,,,,0.94,0.95,,,,0.9,,,,,,,,,,,,,,,,,,,,,,1
25,20180025,F,242,NA,IP (Y),SCHOOL Y,,0.06,,0.49,,,0.13,0.26,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,1
26,20180026,F,251,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.94,,0.73,,,,0.6,0.83,,,,0.78,,,,,,,,,,,,,,,,,,,,,,1
27,20180027,F,254,NA,IP (Y),SCHOOL Y,,0.41,,,,,,,,0.36,,,0.18,,0.3,,,,,,,,,,,,,0.9,,,,,,,2
28,20180028,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.22,,0.99,0.91,,0.96,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,1
29,20180029,F,261,NA,IP (Y),SCHOOL Y,,0.48,,0.5,,,0.37,0.31,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
30,20180030,M,256,NA,IP (X),SCHOOL X,,0.97,,0.78,,,0.68,0.88,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,2
31,20180031,M,254,NA,IP (X),SCHOOL X,,0.63,,0.34,,,0.27,0.35,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
32,20180032,F,246,NA,IP (Y),SCHOOL Y,,0.35,,0.21,,,,0.15,0.24,,,,0.24,,,,,,,,,,,,,,,,,,,,,,1
33,20180033,F,256,NA,IP (Y),SCHOOL Y,,0.86,,0.55,,,0.52,0.51,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,2
34,20180034,F,249,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.57,,0.57,,,0.7,0.45,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,1
35,20180035,F,259,NA,IP (Y),SCHOOL Y,,0.98,,0.96,,,0.89,0.86,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,2
36,20180036,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,,0.92,,0.5,,,,0.74,0.91,,,,0.71,,,,,,,,,,,,,,,,,,,,,,2
37,20180037,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,0.91,,0.31,,,0.5,0.32,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1
38,20180038,M,264,NA,IP (X),SCHOOL X,,0.7,,0.13,,,,0.1,0.04,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
39,20180039,F,259,NA,Appeals (Academic),NATIONAL JUNIOR COLLEGE (IP),,0.95,,0.35,,,0.43,0.58,,,,,EX,,,,,,,,,,,,,,,,,,,,,,2
40,20180040,F,259,NA,IP (Y),SCHOOL Y,,0.57,,0.84,,,0.59,0.77,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
41,20180041,F,249,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,0.42,,0.06,,,,0.48,0.61,,,0.8,,,,,,,,,,,,,,,,,,,,,,,1
42,20180042,F,258,Repeat Yr2,IP (Y),SCHOOL Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,20180043,F,231,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,0.65,,0.38,,,,0.66,0.72,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
44,20180044,F,247,NA,IP (Y),SCHOOL Y,,0.43,,0.6,,0.45,0.35,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,1
45,20180045,M,252,NA,IP (X),SCHOOL X,,0.32,,0.62,,,,0.7,0.74,,,,0.72,,,,,,,,,,,,,,,,,,,,,,3
46,20180046,F,246,NA,IP (Y),SCHOOL Y,,0.52,,0.1,,,,,,,,,,,0.46,,,,0.06,,,,,,,,,,,,0.25,,,,1
47,20180047,M,266,NA,IP (X),SCHOOL X,,0.91,,0.88,,,0.84,0.91,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,1
48,20180048,M,258,NA,IP (X),SCHOOL X,,0.82,,,,,,,,0.7,,0.2,,,0.52,,,,,,,,,,,,,0.84,,,,,,,1
49,20180049,M,262,NA,IP (X),SCHOOL X,,0.53,,0.87,,,0.85,0.92,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,1
50,20180050,M,249,NA,IP (X),SCHOOL X,,0.04,,0.5,,,0.15,0.12,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,1
51,20180051,F,263,NA,IP (Y),SCHOOL Y,,0.82,,0.47,,,,0.57,0.28,,,,,,,,,,,,,0.82,,,,,,,,,,,,,2
52,20180052,F,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.39,,0.22,,,,0.64,0.6,,,,0.35,,,,,,,,,,,,,,,,,,,,,,1
53,20180053,M,257,NA,IP (X),SCHOOL X,,0.15,,0.64,,,0.64,0.61,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,2
54,20180054,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,,0.11,,0.17,,0.09,0.08,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,0
55,20180055,M,236,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,,0.16,,0.95,,,0.86,0.89,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
56,20180056,M,258,NA,IP (X),SCHOOL X,,0.24,,0.34,,,0.34,0.25,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20180057,M,0,NA,IP (X),SCHOOL X,,0.3,,0.42,,,,,,,,,0.68,,0.6,,,,,,,0.96,,,,,,,,,,,,,2
58,20180058,M,0,NA,DSA (CCA),XINMIN SECONDARY SCHOOL,,0.51,,0.78,,,0.9,0.94,,,,,0.96,,,,,,,,,,,,,,,,,,,,,,3
59,20180059,F,237,NA,IP (Y),SCHOOL Y,,0.54,,0.41,,,,0.18,0.13,,,,,,,,,,,,,,,,,,,,,,0.52,,,,2
60,20180060,F,248,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.15,,0.09,,,0.14,0.13,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,2
61,20180061,M,266,NA,IP (X),SCHOOL X,,0.91,,0.65,,,,,,,,,0.48,,,,0.98,,,,,0.5,,,,,,,,,,,,,1
62,20180062,F,267,NA,IP (Y),SCHOOL Y,,0.26,,0.37,,,0.31,0.26,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
63,20180063,M,259,NA,IP (X),SCHOOL X,,0.43,,0.41,,,,0.57,0.34,,,,0.6,,,,,,,,,,,,,,,,,,,,,,2
64,20180064,M,245,NA,DSA (CCA),MARIS STELLA HIGH SCHOOL,,0.08,,0.73,,,0.77,0.73,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,1
65,20180065,M,258,NA,IP (X),SCHOOL X,,0.96,,0.86,,,,,,,0.33,,,0.51,,0.92,,,,,,,,,,,,,,,,,,,2
66,20180066,M,252,NA,IP (X),SCHOOL X,,0.63,,0.44,,,,0.44,0.4,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1
67,20180067,M,242,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,,0.22,,0.34,,,0.13,0.07,,,,,0,,,,,,,,,,,,,,,,,,,,,,1
68,20180068,M,259,NA,IP (X),SCHOOL X,,0.03,,0.04,,,0.01,,,,,,,,,,,,,,,0.35,,,,,,,,,0.68,,,,1
69,20180069,M,259,NA,IP (X),SCHOOL X,,0.39,,0.65,,,0.72,0.67,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,1
70,20180070,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.14,,0.19,,,,MC,0.27,,,,0.38,,,,,,,,,,,,,,,,,,,,,,1
71,20180071,F,264,NA,JAE Ordinary Admission,SINGAPORE CHINESE GIRLS' SCHOOL,,0.67,,0.63,,,,0.44,0.42,,,,0.17,,,,,,,,,,,,,,,,,,,,,,2
72,20180072,M,259,NA,IP (X),SCHOOL X,,0.09,,0.09,,,,0.11,,,,,0.11,,,,,,,,,0.44,,,,,,,,,,,,,1
73,20180073,F,258,NA,IP (Y),SCHOOL Y,,0.77,,0.23,,,,0.3,,,,,0.35,,,,0.41,,,,,,,,,,,,,,,,,,1
74,20180074,F,252,NA,IP (Y),SCHOOL Y,,0.47,,0.32,,,0.53,0.36,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,1
75,20180075,F,261,NA,IP (Y),SCHOOL Y,,0.96,,0.78,,,,0.94,0.96,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
76,20180076,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.29,,0.42,,,,0.52,0.58,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
77,20180077,F,244,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.65,,0.42,,,0.82,0.67,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,1
78,20180078,F,235,NA,IP (Y),SCHOOL Y,,0.19,,0.01,,,,,,,,,0.24,,,,0.08,,,,,,,,,,,,0.42,,,,,,1
79,20180079,F,247,NA,IP (Y),SCHOOL Y,,0.07,,0.03,,,,,,0.08,,,0.03,,0.43,,,,,,,,,,,,,,,,,,,,1
80,20180080,F,238,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.17,,0.67,,,,0.73,0.5,,,,0.43,,,,,,,,,,,,,,,,,,,,,,1
81,20180081,F,255,NA,IP (Y),SCHOOL Y,,0.97,,,,,,,,0.44,,,0.41,,,,0.61,,,,,,,,,,,0.65,,,,,,,1
82,20180082,M,261,NA,IP (X),SCHOOL X,,0.89,,0.88,,0.85,0.58,,,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
83,20180083,M,254,NA,IP (X),SCHOOL X,,0.65,,0.91,,,0.93,0.83,,,,,0.95,,,,,,,,,,,,,,,,,,,,,,1
84,20180084,M,257,NA,IP (X),SCHOOL X,,0.41,,0.63,,,,0.78,0.59,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
85,20180085,F,256,NA,IP (Y),SCHOOL Y,,0.71,,0.41,,,,0.33,0.49,,,,0.86,,,,,,,,,,,,,,,,,,,,,,1
86,20180086,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.47,,0.74,,,,0.91,0.85,,,,0.89,,,,,,,,,,,,,,,,,,,,,,1
87,20180087,F,259,NA,IP (Y),SCHOOL Y,,0.79,,0.27,,,,0.52,0.4,,,,0.22,,,,,,,,,,,,,,,,,,,,,,2
88,20180088,M,257,NA,IP (X),SCHOOL X,,0.51,,0.81,,,,0.57,0.31,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
89,20180089,M,259,NA,IP (X),SCHOOL X,0.9,,,0.86,,,0.9,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,1
90,20180090,M,254,NA,IP (X),SCHOOL X,,0.28,,0.31,,,,,,0.49,,,,,0.69,,,,,,,,,,,,,,,,0.96,,,,1
91,20180091,F,258,NA,IP (Y),SCHOOL Y,,0.91,,0.53,,,,0.52,0.67,,,0.33,,,,,,,,,,,,,,,,,,,,,,,1
92,20180092,M,251,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.31,,0.66,,,0.46,0.51,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
93,20180093,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.35,,0.67,,,0.53,0.35,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,1
94,20180094,M,252,NA,IP (X),SCHOOL X,,0.06,,0.26,,,0.13,0.27,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,1
95,20180095,F,258,NA,IP (Y),SCHOOL Y,,0.82,,,,,,,,,,,,,,,0.77,,,,,0.6,0.7,,,,,0.56,,,,,,,1
96,20180096,F,249,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.33,,0.08,,,,0.35,0.15,,,,MC,,,,,,,,,,,,,,,,,,,,,,1
97,20180097,F,260,NA,IP (Y),SCHOOL Y,,0.23,,0.01,,,,0.06,,,,,0.24,,,,0.31,,,,,,,,,,,,,,,,,,1
98,20180098,M,256,NA,IP (X),SCHOOL X,,0.46,,0.64,,,0.66,0.71,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,2
99,20180099,M,254,NA,DSA (CCA),SCHOOL X,,0.08,,0.33,,,0.29,0.23,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,1
100,20180100,M,261,NA,IP (X),SCHOOL X,,0.61,,0.37,,,,0.65,0.15,,,,0.49,,,,,,,,,,,,,,,,,,,,,,1
101,20180101,M,261,NA,IP (X),SCHOOL X,,0.46,,0.66,,,0.42,0.39,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,1
102,20180102,M,256,NA,IP (X),SCHOOL X,,0.87,,0.9,,,0.89,0.97,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,2
103,20180103,F,255,NA,IP (Y),SCHOOL Y,,0.05,,0.32,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,1
104,20180104,M,257,NA,IP (X),SCHOOL X,,0.49,,0.48,,,0.42,0.5,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,1
105,20180105,F,260,NA,IP (Y),SCHOOL Y,,0.76,,0.8,,,0.41,0.56,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,1
106,20180106,F,0,NA,IP (Y),SCHOOL Y,,0.56,,0.42,,,,,,,0.07,,,0.72,,,,,0.81,,,,,,,,,,,,,,,,1
107,20180107,F,260,NA,IP (Y),SCHOOL Y,,0.59,,,,,,,,,,,0.54,,,,0.68,,0.5,,,,,,,,,0.81,,,,,,,1
108,20180108,F,258,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.88,,0.27,,,,0.37,0.65,,,,0.78,,,,,,,,,,,,,,,,,,,,,,2
109,20180109,F,250,NA,Appeals (Academic),SINGAPORE CHINESE GIRLS' SCHOOL,,0.99,,0.27,,,,,,,0.41,,,0.7,,0.75,,,,,,,,,,,,,,,,,,,1
110,20180110,F,232,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,0.56,,0.4,,,,0.43,0.56,,,,0.85,,,,,,,,,,,,,,,,,,,,,,1
111,20180111,M,258,NA,IP (X),SCHOOL X,,0.79,,0.51,,,,,,,,0.66,0.6,,0.8,,,,,,,,,,,,,,,,,,,,1
112,20180112,F,257,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.64,,0.48,,,,0.9,0.72,,,,,,,,0.8,,,,,,,,,,,,,,,,,,1
113,20180113,M,262,NA,IP (X),SCHOOL X,,0.12,,0.2,,,0.42,0.24,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
114,20180114,M,254,NA,IP (X),SCHOOL X,,0.42,,0.44,,,,0.65,0.26,,,,0.71,,,,,,,,,,,,,,,,,,,,,,1
115,20180115,F,0,NA,IP (Y),SCHOOL Y,,0.21,,0.82,,,0.84,0.79,,,,,,,,,,,,,0.89,,,,,,,,,,,,,,2
116,20180116,M,228,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,,0.01,,0.81,,,0.32,0.62,,,,,,,,,,,,,0.16,,,,,,,,,,,,,0.36,1
117,20180117,F,240,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.08,,0.49,,,0.36,,,,,,0.19,,,,,,,,0.75,,,,,,,,,,,,,,1
118,20180118,M,254,NA,IP (X),SCHOOL X,,0.37,,0.1,,,0.14,0.1,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,1
119,20180119,M,259,NA,IP (X),SCHOOL X,,0.85,,0.9,,,0.99,0.82,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
120,20180120,M,239,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.07,,0.16,,,,,,,,,0.18,,,,,,,,0.64,0.55,,,,,,,,,,,,,0
121,20180121,M,265,NA,IP (X),SCHOOL X,,0.99,,0.05,,,,0.33,0.66,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
122,20180122,F,253,NA,IP (Y),SCHOOL Y,,0.7,,0.37,,,,0.38,0.42,,,,,,,,,,,,,0.28,,,,,,,,,,,,,1
123,20180123,M,239,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,,0.04,,0.52,,,0.45,0.25,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,1
124,20180124,M,262,NA,IP (X),SCHOOL X,,0.54,,0.94,,,,0.84,0.94,,,,0.72,,,,,,,,,,,,,,,,,,,,,,1
125,20180125,M,0,NA,IP (X),SCHOOL X,,0.09,,0.92,0.33,0.8,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,1
