SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,CH1,EL1,EC1,EH1,EG1,S1_1,NO OF CCA
251,20180251,F,262,NA,IP (Y),SCHOOL Y,,0.78,,0.53,,,,0.57,0.8,,,,,,,,0.92,,,,,,,,,,,,,,,,,,1
252,20180252,M,259,NA,IP (X),SCHOOL X,,0.41,,0.28,,,0.48,0.53,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,2
253,20180253,M,239,NA,IP (X),SCHOOL X,,0.67,,0.97,,,0.82,0.85,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,2
254,20180254,M,249,NA,IP (X),SCHOOL X,,0.54,,0.56,,,,0.46,0.27,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
255,20180255,M,257,NA,IP (X),SCHOOL X,,0.56,,0.21,,,0.12,0.19,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,1
256,20180256,F,262,NA,IP (Y),SCHOOL Y,,0.69,,0.93,,,0.96,0.91,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,1
257,20180257,F,247,NA,IP (Y),SCHOOL Y,,0.71,,0.53,,,,0.54,0.64,,,,0.79,,,,,,,,,,,,,,,,,,,,,,1
258,20180258,F,260,NA,IP (Y),SCHOOL Y,0.77,,,0.98,,,0.99,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,1
259,20180259,F,251,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.74,,0.12,,,0.12,0.23,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
260,20180260,F,246,NA,IP (Y),SCHOOL Y,,0.62,,0.11,,,,0.35,,,,,0.49,,,,0.71,,,,,,,,,,,,,,,,,,1
261,20180261,F,259,NA,IP (Y),SCHOOL Y,,0.35,,0.27,,,,0.26,0.18,,,,,,,,,,,,,,,,,,,,,,0.86,,,,1
262,20180262,M,263,NA,DSA (CCA),SCHOOL X,,0.27,,0.24,,,0.3,0.24,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,1
263,20180263,M,257,NA,IP (X),SCHOOL X,,0.04,,0.21,,,,,,,,,0.18,,0.23,,,,,,,,,,,,,,,0.33,,,,,1
264,20180264,F,0,NA,IP (Y),SCHOOL Y,,,0.85,0.92,,,,,,,0.58,,,0.93,,,,,,,,,,,,,,,,,,,,,1
265,20180265,F,0,NA,IP (Y),SCHOOL Y,,0.07,,0.97,,0.83,0.86,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,1
266,20180266,F,247,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,,0.15,,0.24,,,0.17,0.14,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,1
267,20180267,F,268,NA,DSA (CCA),SCHOOL Y,,0.1,,0.02,,,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,0.23,,,,1
268,20180268,F,258,NA,IP (Y),SCHOOL Y,,0.79,,0.33,,,,0.26,0.7,0.13,,,,,,,,,,,,,,,,,,,,,,,,,1
269,20180269,M,256,NA,IP (X),SCHOOL X,,0.2,,0.33,,,0.49,0.37,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,1
270,20180270,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.04,,0.61,,,0.55,0.47,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
271,20180271,M,256,NA,IP (X),SCHOOL X,,0.94,,0.25,,,,,,,0.75,,,0.8,,0.67,,,,,,,,,,,,,,,,,,,1
272,20180272,M,256,NA,IP (X),SCHOOL X,,0.72,,0.4,,,,0.75,0.61,,,,0.96,,,,,,,,,,,,,,,,,,,,,,1
273,20180273,M,241,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.52,,0.98,,,0.94,0.74,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,1
274,20180274,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.26,,0.41,,,,0.37,0.4,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
275,20180275,M,245,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,0.02,,0.44,,,0.29,0.52,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,2
276,20180276,M,260,NA,IP (X),SCHOOL X,,0.62,,0.61,,,,0.71,0.62,,,,0.24,,,,,,,,,,,,,,,,,,,,,,2
277,20180277,F,251,NA,IP (Y),SCHOOL Y,,0.44,,0.82,,,0.7,0.83,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,1
278,20180278,F,246,NA,IP (Y),SCHOOL Y,,0.18,,0.68,,,,0.77,0.68,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
279,20180279,M,0,NA,IP (X),SCHOOL X,,0.11,,0.67,,,0.71,0.68,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,2
280,20180280,M,257,NA,IP (X),SCHOOL X,,0.21,,0.51,,,0.37,0.28,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
281,20180281,M,0,NA,DSA,NAN HUA HIGH SCHOOL,,0.8,,0.89,,,0.71,,,,,,0.94,,0.83,,,,,,,,,,,,,,,,,,,,1
282,20180282,M,258,NA,IP (X),SCHOOL X,,0.83,,0.88,,,,0.96,0.6,,,,,,,,,,,,,,,,,0.66,,,,,,,,,1
283,20180283,F,257,NA,IP (Y),SCHOOL Y,,0.97,,0.88,,,0.74,0.71,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,1
284,20180284,M,241,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.13,,0.6,,,0.41,0.14,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,1
285,20180285,F,247,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),,0.1,,0.36,,,0.07,0.28,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,1
286,20180286,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,,0.07,,0.9,,,0.5,0.71,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,1
287,20180287,M,236,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.88,,0.82,,,,0.77,0.71,,,,0.78,,,,,,,,,,,,,,,,,,,,,,2
288,20180288,F,250,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.34,,0.83,,,0.69,0.72,,,,,,,,,,,,,,,,,,,,,,,1,,,,2
289,20180289,F,248,NA,IP (Y),SCHOOL Y,,0.89,,0.2,,,,0.1,0.11,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
290,20180290,M,240,NA,IP (X),SCHOOL X,,0.52,,0.13,,,0.14,0.08,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,1
291,20180291,F,263,NA,IP (Y),SCHOOL Y,,0.31,,0.87,,,,0.54,0.64,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
292,20180292,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.67,,0.49,,,0.14,0.28,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,1
293,20180293,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.15,,0.63,,,0.38,0.58,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,2
294,20180294,M,243,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.35,,0.21,,,0.35,0.41,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,1
295,20180295,M,255,NA,IP (X),SCHOOL X,,0.61,,0.24,,,0.4,0.44,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,0
296,20180296,M,249,NA,IP (X),SCHOOL X,,0.66,,0.89,,,0.87,0.82,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,1
297,20180297,F,248,NA,IP (Y),SCHOOL Y,,0.36,,0.92,,,0.87,0.99,,,,,0.88,,,,,,,,,,,,,,,,,,,,,,0
298,20180298,F,257,NA,IP (Y),SCHOOL Y,,0.56,,0.83,,,,0.59,0.36,,,,0.36,,,,,,,,,,,,,,,,,,,,,,2
299,20180299,F,255,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.47,,0.71,,,0.67,0.8,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
300,20180300,F,249,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,,0.63,,0.14,,,,,,,,,0.32,,0.45,,,,,,,,,,,,,,,0.75,,,,,1
301,20180301,F,253,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.09,,0.25,,,0.26,,,,,,0.69,,0.28,,,,,,,,,,,,,,,,,,,,1
302,20180302,F,245,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,0.4,,0.72,,,,0.61,0.4,,,,0.27,,,,,,,,,,,,,,,,,,,,,,1
303,20180303,F,255,NA,IP (Y),SCHOOL Y,,0.47,,0,,,0.02,0.04,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,1
304,20180304,F,260,NA,IP (Y),SCHOOL Y,,0.92,,0.55,,,,0.71,0.87,,,,0.78,,,,,,,,,,,,,,,,,,,,,,1
305,20180305,F,265,NA,IP (Y),SCHOOL Y,,0.65,,0.89,,,,0.95,0.96,,,,0.88,,,,,,,,,,,,,,,,,,,,,,1
306,20180306,M,264,NA,IP (X),SCHOOL X,,0.74,,0.67,,,,0.6,0.52,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1
307,20180307,M,256,NA,IP (X),SCHOOL X,,0.27,,0.33,,,,,,0.05,,,0.18,,,,,,,,,0.1,,,,,,,,,,,,,2
308,20180308,M,263,NA,IP (X),SCHOOL X,,0.65,,0.75,,,0.84,0.79,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,1
309,20180309,F,0,NA,JAE Ordinary Admission,MARSILING SECONDARY SCHOOL,,0.03,,0.18,,,0,,,,,,0.3,,,,,,,,0.54,,,,,,,,,,,,,0.89,1
310,20180310,F,264,NA,IP (Y),SCHOOL Y,,,0.53,,,,,,,,0.87,,,0.48,,,,0.28,,,,,,,,,,0.25,,,,,,,1
311,20180311,M,258,NA,IP (X),SCHOOL X,,0.26,,0.49,,,,,,,,,,,,,,,,,0.67,0.89,,,,,,,,,0.91,,,,1
312,20180312,F,265,NA,IP (Y),SCHOOL Y,,0.75,,0.7,,,,0.39,0.35,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
313,20180313,M,244,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.38,,0.6,,,,,,0.86,,,0.57,,0.94,,,,,,,,,,,,,,,,,,,,2
314,20180314,F,254,NA,IP (Y),SCHOOL Y,,0.2,,0.95,,,,0.81,0.67,,,,0.52,,,,,,,,,,,,,,,,,,,,,,1
315,20180315,M,256,NA,IP (X),SCHOOL X,,0.32,,0.67,,,,0.38,0.78,,,,0.77,,,,,,,,,,,,,,,,,,,,,,2
316,20180316,F,247,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.56,,0.7,,,0.59,0.66,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,2
317,20180317,F,250,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.42,,0.08,,,,0,0.05,0.58,,,,,,,,,,,,,,,,,,,,,,,,,1
318,20180318,F,242,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,0.05,,0.07,,,,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,0.46,,,,1
319,20180319,M,253,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,0.36,,0.85,,,,0.75,0.75,,,,0.14,,,,,,,,,,,,,,,,,,,,,,1
320,20180320,F,250,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.84,,0.32,,,0.53,0.92,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,1
321,20180321,F,0,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,0.61,,0.79,,,0.65,0.56,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,2
322,20180322,F,263,NA,IP (Y),SCHOOL Y,,0.22,,0.48,,,0.45,0.52,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,1
323,20180323,M,246,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.13,,0.65,,,0.5,0.38,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,1
324,20180324,F,268,NA,IP (Y),SCHOOL Y,,0.74,,0.85,,,0.8,0.88,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,1
325,20180325,F,270,NA,IP (Y),SCHOOL Y,,0.87,,0.26,,,,0.62,0.75,,,,0.81,,,,,,,,,,,,,,,,,,,,,,1
326,20180326,F,246,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.37,,0.07,,,0.02,0.23,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,1
327,20180327,M,237,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,,0.19,,0.47,,,,0.4,0.45,,,,0.66,,,,,,,,,,,,,,,,,,,,,,1
328,20180328,M,237,NA,JAE Ordinary Admission,XINMIN SECONDARY SCHOOL,,0.58,,0.5,,,,0.69,0.46,,,,0.27,,,,,,,,,,,,,,,,,,,,,,1
329,20180329,M,256,NA,IP (X),SCHOOL X,,0.76,,0.78,,,0.75,0.95,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,1
330,20180330,F,237,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.09,,0.13,,,0.16,0.37,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,1
331,20180331,M,261,NA,IP (X),SCHOOL X,,0.9,,0.82,,,,,,,0.19,,,0.76,,,,0.57,,,,,,,,,,,,,,,,,1
332,20180332,M,258,NA,DSA (CCA),SCHOOL X,,0.72,,0,,,,0.06,0.37,,,,,,,,,,,,,,,,,,,,,,0.37,,,,1
333,20180333,M,245,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,,0.82,,,,,,,,0.78,,,0.85,,0.82,,,,,,,,,,,,,,,,,,,2
334,20180334,F,249,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,0.65,,0.27,,,,0.23,0.31,,,,0.29,,,,,,,,,,,,,,,,,,,,,,1
335,20180335,F,254,NA,IP (Y),SCHOOL Y,,0.09,,0.08,,,,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,0.32,,,,1
336,20180336,M,267,NA,IP (X),SCHOOL X,,0.9,,0.88,,,,0.99,0.97,,,,,,,,1,,,,,,,,,,,,,,,,,,2
337,20180337,F,252,NA,IP (Y),SCHOOL Y,,0.54,,0.21,,,,0.31,0.18,,,,,,,,,,,,,,,,,,,,,,0.52,,,,1
338,20180338,F,257,NA,IP (Y),SCHOOL Y,,0.53,,0.91,,,0.91,0.86,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,1
339,20180339,M,257,NA,IP (X),SCHOOL X,,0.56,,0.73,,,,0.86,0.82,,,,0.52,,,,,,,,,,,,,,,,,,,,,,2
340,20180340,F,231,NA,IP (Y),SCHOOL Y,,0.01,,0.03,,0.1,,0.02,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,1
341,20180341,F,0,NA,IP (Y),SCHOOL Y,,0.97,,0.08,,,,0.17,0.12,,,,0.56,,,,,,,,,,,,,,,,,,,,,,1
342,20180342,F,248,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,,0.61,,0.22,,,,0.16,0.37,,,,0.22,,,,,,,,,,,,,,,,,,,,,,1
343,20180343,F,259,NA,IP (Y),SCHOOL Y,,0.04,,0.06,,,,,,,,,0.02,,0.39,,,,,,,,,,,,,,,0.58,,,,,1
344,20180344,M,248,NA,IP (X),SCHOOL X,,0.65,,0.52,,,0.63,0.55,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
345,20180345,M,0,NA,JAE Ordinary Admission,NEW TOWN SECONDARY SCHOOL,,0.47,,0.26,,,,0.25,0.21,,,,0.07,,,,,,,,,,,,,,,,,,,,,,1
346,20180346,M,256,NA,IP (X),SCHOOL X,,0.71,,0.37,,,,0.73,0.87,,,,0.48,,,,,,,,,,,,,,,,,,,,,,1
347,20180347,M,250,NA,IP (X),SCHOOL X,0.35,,,,,,,,,0.06,,,,,0.76,,,,,,,,,,0.57,,,,,,,,,,1
348,20180348,F,249,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,0.59,,0.31,,,,,,1,,,0.93,,0.93,,,,,,,,,,,,,,,,,,,,1
349,20180349,M,258,NA,IP (X),SCHOOL X,,0.38,,0.21,,,0.12,0.09,,,,,,,,,,,,,,,,,,,,,,,0.82,,,,1
350,20180350,F,240,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,0.15,,0.41,,,,0.57,0.81,,,,0.4,,,,,,,,,,,,,,,,,,,,,,1
351,20180351,F,254,NA,IP (Y),SCHOOL Y,,0.43,,0.54,,,0.53,0.64,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,1
352,20180352,F,261,NA,IP (Y),SCHOOL Y,,0.58,,0.49,,,,0.35,0.31,,,,,,,,,,,,,0.48,,,,,,,,,,,,,1
353,20180353,M,261,NA,IP (X),SCHOOL X,,1,,0.81,,,,0.77,,,,,0.94,,0.9,,,,,,,,,,,,,,,,,,,,1
354,20180354,M,262,NA,IP (X),SCHOOL X,,0.64,,0.4,,,0.31,0.27,,,,,0.59,,,,,,,,,,,,,,,,,,,,,,1
355,20180355,M,242,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.04,,0.74,,,0.59,0.84,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,1
356,20180356,F,264,NA,IP (Y),SCHOOL Y,,0.74,,0.89,,,,0.94,0.99,,,,0.93,,,,,,,,,,,,,,,,,,,,,,2
357,20180357,F,263,NA,IP (Y),SCHOOL Y,,0.35,,0.3,,,,0.21,0.16,,,,0.17,,,,,,,,,,,,,,,,,,,,,,1
358,20180358,F,248,NA,IP (Y),SCHOOL Y,,0.01,,0,,,,,,,,,0.02,,,,0.01,,,,,,,,,,,,0.14,,,,,,1
359,20180359,M,256,NA,IP (X),SCHOOL X,,0.68,,0.73,,,0.72,0.71,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,1
360,20180360,M,253,NA,IP (X),SCHOOL X,,0.89,,0.2,,0.4,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,1
361,20180361,M,245,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.42,,0.44,,,,0.32,0.32,,,,0.37,,,,,,,,,,,,,,,,,,,,,,1
362,20180362,M,239,NA,IP (X),SCHOOL X,,0.23,,0.5,,,0.4,0.28,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,2
363,20180363,M,260,NA,IP (X),SCHOOL X,,0.62,,0.58,,,,0.51,0.63,,,,,,0.72,,,,,,,,,,,,,,,,,,,,1
364,20180364,F,239,NA,IP (Y),SCHOOL Y,,0.22,,,,,,,,0.16,,,0.63,,,,0.34,,,,,,,,,,,0.59,,,,,,,1
365,20180365,F,262,NA,IP (Y),SCHOOL Y,,0.83,,0.89,,,,0.86,0.85,,,,0.83,,,,,,,,,,,,,,,,,,,,,,2
366,20180366,M,248,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,0.29,,0.56,,,,0.62,0.76,,,,,,,,,,,,,,,,,,,,,,0.84,,,,1
367,20180367,M,251,NA,DSA,SCHOOL X,,0.71,,0.39,,,0.35,0.19,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,2
368,20180368,F,267,NA,IP (Y),SCHOOL Y,,0.62,,0.28,,,,0.35,0.38,,,,0.36,,,,,,,,,,,,,,,,,,,,,,1
369,20180369,M,254,NA,IP (X),SCHOOL X,,0.27,,0.72,,,0.53,0.76,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,1
370,20180370,F,265,NA,IP (Y),SCHOOL Y,,0.51,,0.85,,,0.64,0.7,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,1
371,20180371,F,0,NA,JAE Ordinary Admission,QUEENSTOWN SECONDARY SCHOOL,,0.19,,0.35,,,0.28,0.47,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,1
372,20180372,M,254,NA,IP (X),SCHOOL X,,0.19,,0.23,,,,0.04,0.06,,,,0.09,,,,,,,,,,,,,,,,,,,,,,2
373,20180373,F,0,NA,JAE Ordinary Admission,BUKIT VIEW SECONDARY SCHOOL,,0.08,,0.19,,,0.13,0.04,,,,,,,,,,,,,0.1,,,,,,,,,,,,,0.52,1
374,20180374,F,246,NA,DSA (CCA),CEDAR GIRLS' SECONDARY SCHOOL,,0.04,,0.2,,,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,1
375,20180375,F,258,NA,IP (Y),SCHOOL Y,,0.89,,0.85,,,0.75,,,,,,0.78,,,,,,,1,,,,,,,,,,,,,,,1
376,20180376,M,232,NA,DSA (CCA),ST. ANDREW'S SECONDARY SCHOOL,,0.03,,0.53,,,0.33,0.26,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,1
