SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,S1_1,NO OF CCA
1,20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",,60.9,,67.5,,,64.6,76.2,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,1
2,20200002,F,0,NA,IP (Y),SCHOOL Y,,57.6,,61.1,,,,51.7,69.2,61,,,,,,,,,,,,,,,,,,,,,,,,,1
3,20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,56.9,,63.1,,,,56.1,,,,,52.5,,42.8,,,,,,,,,,,,,,,,,,,,1
4,20200004,M,0,NA,IP (X),SCHOOL X,,53.1,,59.2,,,46.8,59.4,,,,,61.1,,,,,,,,,,,,,,,,,,,,,,2
5,20200005,F,0,NA,IP (Y),SCHOOL Y,,55.4,,42.4,,,,56.7,49.9,,,,,,,,53.7,,,,,,,,,,,,,,,,,,1
6,20200006,F,0,NA,IP (Y),SCHOOL Y,,55.7,,44.6,,,39.8,63.8,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,1
7,20200007,F,0,NA,IP (Y),SCHOOL Y,,54.2,,57.8,,,,59.9,60.5,,,,50.8,,,,,,,,,,,,,,,,,,,,,,2
8,20200008,F,0,NA,IP (Y),SCHOOL Y,,53.2,,80.8,,,55.8,68.6,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,1
9,20200009,M,0,NA,IP (X),SCHOOL X,,67.3,,83.8,,,85.3,90.8,,,,,70.5,,,,,,,,,,,,,,,,,,,,,,1
10,20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,56.2,,37.3,,,,41.3,61.3,,,,52.2,,,,,,,,,,,,,,,,,,,,,,1
11,20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,58.1,,76,,,,76.3,69.3,,,,48.6,,,,,,,,,,,,,,,,,,,,,,1
12,20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,54,,54.7,,,66.5,72.3,,,,,44.3,,,,,,,,,,,,,,,,,,,,,,1
13,20200013,M,0,NA,IP (X),SCHOOL X,,52.4,,63.3,,,,67.5,65.3,,,,58.9,,,,,,,,,,,,,,,,,,,,,,1
14,20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,,59.5,,77.2,,,MC,78.9,,,,,MC,,,,,,,,,,,,,,,,,,,,,,2
15,20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,57.9,,66.3,,,,80.4,53.1,,,,48,,,,,,,,,,,,,,,,,,,,,,2
16,20200016,F,0,NA,IP (Y),SCHOOL Y,,58.7,,38.9,,,,,,52.7,,,60.2,,,,64.4,,,,,,,,,,,,,,,,,,1
17,20200017,F,0,NA,IP (Y),SCHOOL Y,,57.5,,50,,,,58.7,50.8,,,,54.1,,,,,,,,,,,,,,,,,,,,,,1
18,20200018,F,0,NA,IP (Y),SCHOOL Y,,57.7,,58.7,,,,72.4,70.4,,,,54.7,,,,,,,,,,,,,,,,,,,,,,2
19,20200019,M,0,NA,IP (X),SCHOOL X,,67.8,,70.2,,,69.9,74.4,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,1
20,20200020,M,0,NA,IP (X),SCHOOL X,,60.1,,54.5,,,,59.7,48.1,,,,,,,,,,,,,62.4,,,,,,,,,,,,,1
21,20200021,M,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,51,,41.2,,,,45.7,25.6,,,,45.3,,,,,,,,,,,,,,,,,,,,,,2
22,20200022,M,0,NA,IP (X),SCHOOL X,,57.1,,77.9,,,71.4,67.3,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,1
23,20200023,F,0,NA,IP (Y),SCHOOL Y,,64.5,,52.1,,,,61.9,53.7,,,,43.8,,,,,,,,,,,,,,,,,,,,,,1
24,20200024,M,0,NA,IP (X),SCHOOL X,,59.9,,88.6,,,78.1,86.3,,,,,68.4,,,,,,,,,,,,,,,,,,,,,,1
25,20200025,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,,56.5,,67,,,,60,67,,,,,,,,,,,,,,,,,,,,,,,,,64,1
26,20200026,M,0,NA,IP (X),SCHOOL X,,56.2,,38.4,,,63.7,47.5,,,,,,,,,,,,,,55.7,,,,,,,,,,,,,1
27,20200027,F,0,NA,IP (Y),SCHOOL Y,,53.5,,47.6,,,,49.7,51,55.9,,,,,,,,,,,,,,,,,,,,,,,,,1
28,20200028,F,0,NA,IP (Y),SCHOOL Y,72.8,,,96.5,,,87.2,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,20200029,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),,62.6,,51.8,,,,60.9,,,,,61,,,,63.2,,,,,,,,,,,,,,,,,,1
30,20200030,F,0,NA,IP (Y),SCHOOL Y,,58.3,,44,,,53.1,,,57.6,,,50,,,,,,,,,,,,,,,,,,,,,,1
31,20200031,F,0,NA,IP (Y),SCHOOL Y,,62.7,,28.9,,,,43,,67.1,,,,,,,,,,,,55.8,,,,,,,,,,,,,1
32,20200032,F,0,NA,IP (Y),SCHOOL Y,,55.1,,74.1,,,63.2,66.1,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,1
33,20200033,F,0,NA,IP (Y),SCHOOL Y,,58.7,,86.5,,,65.1,86.6,,,,,66.5,,,,,,,,,,,,,,,,,,,,,,2
34,20200034,F,0,NA,IP (Y),SCHOOL Y,,77.4,,79.1,,,,,,,69,,,51.3,,60,,,,,,,,,,,,,,,,,,,2
35,20200035,F,223,NA,DSA (CCA),SCHOOL Y,,53.9,,60.7,,,,71.6,50.7,,,,,,,,,,,,,,,,,,,,,,,71,,,1
36,20200036,F,0,NA,IP (Y),SCHOOL Y,,55.5,,70.5,,,,79.7,64.1,,,,55.6,,,,,,,,,,,,,,,,,,,,,,1
37,20200037,F,0,NA,IP (Y),SCHOOL Y,,58.5,,72.4,,,64.5,70.9,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,1
38,20200038,F,0,NA,IP (Y),SCHOOL Y,,,64.8,,,,,,,,59,,,33.4,,,,46,,,,,,,,,,,,,,,,,2
39,20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,,63.2,,66.1,,,,68.9,77.9,,,,55.6,,,,,,,,,,,,,,,,,,,,,,2
40,20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,,52.5,,49.6,,,,,,53.7,,,30.2,,43,,,,,,,,,,,,,,,,,,,,3
41,20200041,F,0,NA,IP (Y),SCHOOL Y,,55.3,,41.2,,,,58.9,51.5,,,,40.9,,,,,,,,,,,,,,,,,,,,,,1
42,20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,59.6,,80.4,,,,80.4,75.5,,,,63.4,,,,,,,,,,,,,,,,,,,,,,2
43,20200043,F,0,NA,IP (Y),SCHOOL Y,,62.5,,70.7,,,,77.6,,,,,70.1,,,,74.6,,,,,,,,,,,,,,,,,,2
44,20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,,57.6,,,,,,,,58.5,,,43.3,,,,61.9,,,,,,,,,,,40.7,,,,,,,1
45,20200045,M,0,NA,IP (X),SCHOOL X,,58.1,,64.5,,,58.6,73.1,,,,,49.7,,,,,,,,,,,,,,,,,,,,,,1
46,20200046,F,0,NA,IP (Y),SCHOOL Y,,57.5,,79.1,,,65.9,72.6,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,2
47,20200047,M,0,NA,IP (X),SCHOOL X,,59.9,,69.7,,,66.3,74.4,,,,,67,,,,,,,,,,,,,,,,,,,,,,1
48,20200048,M,0,NA,IP (X),SCHOOL X,,62,,70.6,,,,83.4,64.8,,,,64.2,,,,,,,,,,,,,,,,,,,,,,1
49,20200049,F,0,NA,IP (Y),SCHOOL Y,,56.7,,60.4,,,,67.6,,,,,58.2,,,,,,,,,71.6,,,,,,,,,,,,,1
50,20200050,M,0,NA,IP (X),SCHOOL X,,62.8,,67,,,64.9,76.8,,,,,68.7,,,,,,,,,,,,,,,,,,,,,,1
51,20200051,F,0,NA,IP (Y),SCHOOL Y,,54.2,,39.9,,,,62.4,,,,,45.7,,,,,,,,,56,,,,,,,,,,,,,1
52,20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,,49,,21.7,,,,56.6,29.3,,,,,,,,,,,,,,,,,,,,,,,,58.9,,1
53,20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,,54.3,,68.6,,,,70.4,66.1,,,,57.7,,,,,,,,,,,,,,,,,,,,,,2
54,20200054,F,0,NA,IP (Y),SCHOOL Y,,64.8,,47.6,,,,40.5,41.5,,,,41.3,,,,,,,,,,,,,,,,,,,,,,1
55,20200055,M,0,NA,IP (X),SCHOOL X,,60.6,,87.3,,,80.9,80.4,,,,,,,,,,,,,,,,,81.1,,,,,,,,,,1
56,20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,54.9,,73.3,,,58.6,75.8,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,1
57,20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,55.2,,66.3,,,78.2,80.4,,,,,53.9,,,,,,,,,,,,,,,,,,,,,,1
58,20200058,F,0,NA,IP (Y),SCHOOL Y,,60.2,,44.7,,,52.7,52.1,,,,,62.1,,,,,,,,,,,,,,,,,,,,,,1
59,20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,,58,,66.8,,,,57.1,57.1,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
60,20200060,F,0,NA,IP (Y),SCHOOL Y,,52.8,,68.6,,,59.5,69.6,,,,,50.8,,,,,,,,,,,,,,,,,,,,,,1
61,20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,51.1,,72.9,,,,69.5,57.4,,,,55.6,,,,,,,,,,,,,,,,,,,,,,1
62,20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,57.7,,54.7,,,,70.4,61.8,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
63,20200063,F,0,NA,IP (Y),SCHOOL Y,,76.1,,71,,,,84.7,86.1,,,,66.5,,,,,,,,,,,,,,,,,,,,,,1
64,20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,52.2,,55.1,,,44,52.4,,,,,58.7,,,,,,,,,,,,,,,,,,,,,,1
65,20200065,M,0,NA,IP (X),SCHOOL X,,64.2,,69.7,,,,85.7,72.6,,,,57.1,,,,,,,,,,,,,,,,,,,,,,1
66,20200066,M,0,NA,IP (X),SCHOOL X,,50.8,,35,,,45.2,57.5,,,,,45,,,,,,,,,,,,,,,,,,,,,,1
67,20200067,M,0,NA,IP (X),SCHOOL X,,53.3,,67.2,,,,84,,,,,46.3,,,,,,,,,56.4,,,,,,,,,,,,,1
68,20200068,M,0,NA,IP (X),SCHOOL X,,65,,93.4,,,81.9,91.6,,,,,,,,,,,,,,68.7,,,,,,,,,,,,,1
69,20200069,M,0,NA,IP (X),SCHOOL X,,57,,70.6,,,53.6,78.2,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,1
70,20200070,M,0,NA,IP (X),SCHOOL X,,55.3,,68.2,,,,52.7,53.6,,,,57.3,,,,,,,,,,,,,,,,,,,,,,1
71,20200071,F,0,NA,IP (Y),SCHOOL Y,,58.3,,72.2,,,,72.2,72.6,,,,56.2,,,,,,,,,,,,,,,,,,,,,,1
72,20200072,M,0,NA,IP (X),SCHOOL X,,65,,41.2,,,,58.2,55.4,,,,49.8,,,,,,,,,,,,,,,,,,,,,,1
73,20200073,M,0,NA,IP (X),SCHOOL X,,,77.5,81.7,,,,,,,70,,,,,70,,,,,,,,,,,,,,,,,,,2
74,20200074,F,0,NA,IP (Y),SCHOOL Y,,62.4,,65.2,,,64.3,68.5,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,1
75,20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,,40.3,,64.3,,,60.4,72.4,,,,,,,,,,,,,66.9,,,,,,,,,,,,,,1
76,20200076,F,0,NA,IP (Y),SCHOOL Y,,55.8,,64.3,,,,53.9,68.8,,,,45,,,,,,,,,,,,,,,,,,,,,,1
77,20200077,F,0,NA,IP (Y),SCHOOL Y,,65.7,,58.2,,,61.3,66.2,,,,,66.3,,,,,,,,,,,,,,,,,,,,,,1
78,20200078,F,0,NA,IP (Y),SCHOOL Y,,54.3,,39.5,,,,55.3,54.6,,,,44.7,,,,,,,,,,,,,,,,,,,,,,1
79,20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,55,,63.9,,,61.5,75.5,,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
80,20200080,F,0,NA,IP (Y),SCHOOL Y,,51.6,,48.1,,,,56.7,46.8,,,,,,,,,,,,51.8,,,,,,,,,,,,,,1
81,20200081,M,0,NA,IP (X),SCHOOL X,,63.5,,77,,,,85.5,72.8,,,,73.1,,,,,,,,,,,,,,,,,,,,,,1
82,20200082,M,0,NA,IP (X),SCHOOL X,,55.9,,50.9,,,51.5,61.4,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,1
83,20200083,F,0,NA,IP (Y),SCHOOL Y,,55.7,,33.7,,,,,,55.9,,,41.5,,49.5,,,,,,,,,,,,,,,,,,,,1
84,20200084,M,0,NA,IP (X),SCHOOL X,,63.1,,76.6,,,71.5,80.1,,,,,61.4,,,,,,,,,,,,,,,,,,,,,,1
85,20200085,F,0,NA,IP (Y),SCHOOL Y,,54.2,,75.6,,,,75,57.5,,,,59.2,,,,,,,,,,,,,,,,,,,,,,1
86,20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
87,20200087,M,0,NA,IP (X),SCHOOL X,,50,,32.7,,31.5,42.6,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,1
88,20200088,F,0,NA,IP (Y),SCHOOL Y,,55.2,,34.3,,,,61.6,45.5,,,,70,,,,,,,,,,,,,,,,,,,,,,2
89,20200089,M,0,NA,IP (X),SCHOOL X,,62.6,,84.4,,,82.4,87.9,,,,,67.8,,,,,,,,,,,,,,,,,,,,,,1
90,20200090,F,0,NA,IP (Y),SCHOOL Y,,60,,64.1,,,,70.6,67.6,,,,60.3,,,,,,,,,,,,,,,,,,,,,,1
91,20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,,48.8,,42.6,,,,65.2,47.7,,,,54.4,,,,,,,,,,,,,,,,,,,,,,1
92,20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,53.8,,68.3,61.2,,68.6,,,,,,50.7,,,,,,,,,,,,,,,,,,,,,,1
93,20200093,F,0,NA,IP (Y),SCHOOL Y,,59,,44.1,,,,44.9,64.9,,,,56,,,,,,,,,,,,,,,,,,,,,,1
94,20200094,F,0,NA,IP (Y),SCHOOL Y,,70.3,,71.6,,,,68.3,68.4,,,,,,,,,,,,,68.1,,,,,,,,,,,,,2
95,20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,,56.4,,72.2,,,,76.6,69,,,,59.1,,,,,,,,,,,,,,,,,,,,,,1
96,20200096,F,0,NA,IP (Y),SCHOOL Y,,57.8,,52.8,,,,,,55.7,,,55.4,,,,57.8,,,,,,,,,,,,,,,,,,1
97,20200097,F,0,NA,IP (Y),SCHOOL Y,,73.1,,84.2,,,,,,,65,,,69.9,,65.7,,,,,,,,,,,,,,,,,,,1
98,20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,,63.5,,51.2,,,,61.1,,,,,60.8,,64.1,,,,,,,,,,,,,,,,,,,,1
99,20200099,F,0,NA,IP (Y),SCHOOL Y,,71.8,,73.6,,,,85.7,84,,,,,,,,,,,,,73.8,,,,,,,,,,,,,1
100,20200100,M,0,NA,IP (X),SCHOOL X,,66.9,,81.7,,,74.3,85,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,2
101,20200101,M,0,NA,IP (X),SCHOOL X,,61,,50.9,,,55.8,74.9,,,,,,,,,,,,,,56.1,,,,,,,,,,,,,1
102,20200102,F,0,NA,IP (Y),SCHOOL Y,,52.8,,60.3,,71.6,58.1,,,,,,53.4,,,,,,,,,,,,,,,,,,,,,,1
103,20200103,F,0,NA,IP (Y),SCHOOL Y,,56.1,,43.7,,,43.8,64.9,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,1
104,20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),,52.3,,74.9,,,,84.8,70,,,,51.2,,,,,,,,,,,,,,,,,,,,,,1
105,20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,,66.6,,88.5,,,,82.7,74.2,,,,70.9,,,,,,,,,,,,,,,,,,,,,,1
106,20200106,M,0,NA,IP (X),SCHOOL X,,53.5,,55.6,,,,67.9,57.8,,,,56.4,,,,,,,,,,,,,,,,,,,,,,1
107,20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,,55.3,,57.3,,,,,,61.3,,,54.7,,62.3,,,,,,,,,,,,,,,,,,,,1
108,20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,,52.8,,76.5,,,59.5,74.5,,,,,57.1,,,,,,,,,,,,,,,,,,,,,,1
109,20200109,F,0,NA,IP (Y),SCHOOL Y,,62.1,,74.9,,,70.5,84.4,,,,,66.8,,,,,,,,,,,,,,,,,,,,,,1
110,20200110,F,0,NA,IP (Y),SCHOOL Y,,58.6,,28.8,,,,,,,62,,,,,,,50,,,,60.8,,,,,,,,,,,,,1
111,20200111,F,0,NA,IP (Y),SCHOOL Y,,59.9,,75.3,,,,71.9,59.6,,,,,,,,,,,,,,64.5,,,,,,,,,,,,1
112,20200112,M,0,NA,IP (X),SCHOOL X,,56,,68.8,,,,71.5,74.9,,,,51.2,,,,,,,,,,,,,,,,,,,,,,1
113,20200113,M,0,NA,IP (X),SCHOOL X,,54.9,,51.6,,,,47.9,42.1,,,,47.9,,,,,,,,,,,,,,,,,,,,,,1
114,20200114,F,0,NA,IP (Y),SCHOOL Y,,59.3,,82.1,,,59.8,79.9,,,,,57.2,,,,,,,,,,,,,,,,,,,,,,1
115,20200115,M,0,NA,IP (X),SCHOOL X,,61.8,,65.7,,,67.3,83.1,,,,,62.7,,,,,,,,,,,,,,,,,,,,,,1
116,20200116,F,0,NA,IP (Y),SCHOOL Y,,MC,,,,,,,,,,,EX,,,,,,,,61,EX,,,,,,78,,,,,,,1
117,20200117,F,0,NA,IP (Y),SCHOOL Y,70.8,,,73.6,,,,76.1,83.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
118,20200118,M,0,NA,IP (X),SCHOOL X,,64.9,,88.5,,,,91.7,85.5,,,,78.5,,,,,,,,,,,,,,,,,,,,,,2
119,20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),,57,,71.6,,,62.7,65.4,,54,,,,,,,,,,,,,,,,,,,,,,,,,1
120,20200120,M,0,NA,IP (X),SCHOOL X,,66.2,,69,,,63.9,74.5,,,,,64,,,,,,,,,,,,,,,,,,,,,,1
121,20200121,M,0,NA,IP (X),SCHOOL X,,53.5,,37.7,,,,43.9,54.7,53.5,,,,,,,,,,,,,,,,,,,,,,,,,1
122,20200122,M,0,NA,IP (X),SCHOOL X,69.3,,,83.4,,84.6,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,20200123,M,0,NA,IP (X),SCHOOL X,,56.1,,43,,,55.7,79.2,,,,,,,,,,,56.6,,,,,,,,,,,,,,,,1
124,20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,,62.1,,81.7,,,,87.2,88,,,,54.4,,,,,,,,,,,,,,,,,,,,,,2
125,20200125,F,0,NA,IP (Y),SCHOOL Y,,62.1,,64.2,,,,75.1,79.8,,,,66.6,,,,,,,,,,,,,,,,,,,,,,1
