NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200001,F,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",A,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,227,78,1.4,85,1
20200002,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200003,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,B,,B,,,,E,,,,,D,,D,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.4,66.25,1
20200004,M,0,NA,IP (X),SCHOOL X,A,,C,,D,,,U,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,936,11,4.6,52.5,2
20200005,F,0,NA,IP (Y),SCHOOL Y,A,,D,,S,,,,S,E,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,974,8,5,43.75,1
20200006,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,E,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,884,16,4.1,58.75,1
20200007,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,D,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,727,31,3,70,2
20200008,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,B,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,538,49,2.3,77.5,1
20200009,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200010,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,C,,D,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,748,29,3,68.75,1
20200011,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200012,M,246,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,B,,C,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Passed,538,49,2,77.5,1
20200013,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,572,46,2.3,76.25,1
20200014,M,247,NA,DSA,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,B,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,B,,,,UC,,,,,A,B,Passed,121,88,1.1,87.5,2
20200015,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,B,,B,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,2
20200016,F,0,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,B,,,A,,,,B,,,,,,,,,,,A,,,,,,,,,,,,,A,B,Passed,280,73,1.5,83.75,1
20200017,F,0,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,S,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,884,16,4.1,58.75,1
20200018,F,0,NA,IP (Y),SCHOOL Y,B,,B,,B,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,429,59,2,80,2
20200019,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,B,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,B,Passed,280,73,1.9,83.75,1
20200020,M,0,NA,IP (X),SCHOOL X,A,,B,,S,,,,D,C,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.4,66.25,1
20200021,M,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,D,,U,,,,E,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,965,9,5,46.25,2
20200022,M,0,NA,IP (X),SCHOOL X,B,,C,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,489,54,2,78.75,1
20200023,F,0,NA,IP (Y),SCHOOL Y,A,,A,,E,,,,E,E,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,936,11,4.8,52.5,1
20200024,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200025,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,C,,A,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,1.6,72.5,1
20200026,M,0,NA,IP (X),SCHOOL X,B,,B,,E,,,C,S,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,B,A,Passed,875,17,4,60,1
20200027,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,S,E,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,952,10,4.8,48.75,1
20200028,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,1,100,1,90,1
20200029,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,C,,,,B,,,,,D,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,608,42,2.6,75,1
20200030,F,0,NA,IP (Y),SCHOOL Y,A,,B,,S,,,S,,,C,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,944,11,4.6,51.25,1
20200031,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,S,,A,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.7,61.25,1
20200032,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200033,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,121,88,1.2,87.5,2
20200034,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,,,,A,,,C,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,121,88,1.4,87.5,2
20200035,F,223,NA,DSA (CCA),SCHOOL Y,A,,B,,D,,,,B,D,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,B,Passed,748,29,3,68.75,1
20200036,F,0,NA,IP (Y),SCHOOL Y,A,,C,,A,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,489,54,2.1,78.75,1
20200037,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,C,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200038,F,0,NA,IP (Y),SCHOOL Y,A,,,A,,,,,,,,B,,,U,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,834,21,3,62.5,2
20200039,F,249,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,A,,A,,C,,,,B,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.9,82.5,2
20200040,F,251,NA,Appeals (Academic),NAN HUA HIGH SCHOOL,A,,C,,U,,,,,,,,,B,,D,,,,,,,,,,,,,,,,B,,,,,,,,,,A,B,Passed,909,14,3.6,56.25,3
20200041,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,S,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,952,10,4.8,48.75,1
20200042,F,0,NA,DSA,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,2
20200043,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,B,,,,,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,189,82,1.4,86.25,2
20200044,F,0,NA,JAE Ordinary Admission,CLEMENTI TOWN SECONDARY SCHOOL,A,,B,,,,,,,,B,,,E,,,,D,,,,,,,,,,,E,,,,,,,,,,,,,A,C,Passed,816,23,3.5,63.75,1
20200045,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,280,73,1.7,83.75,1
20200046,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,394,62,1.9,81.25,2
20200047,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,C,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200048,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,394,62,1.9,81.25,1
20200049,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200050,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,A,A,Passed,189,82,1.4,86.25,1
20200051,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,D,,,,,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.4,66.25,1
20200052,M,242,NA,DSA (CCA),CATHOLIC HIGH SCHOOL,A,,C,,U,,,,U,S,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,A,C,Failed,1032,2,6,22.5,1
20200053,F,0,NA,JAE Ordinary Admission,ASSUMPTION ENGLISH SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,2
20200054,F,0,NA,IP (Y),SCHOOL Y,A,,A,,S,,,,S,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,949,10,4.8,50,1
20200055,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,,,,,,,,,,,,,A,,,,,,,,,PA,,,,,,,A,A,Passed,1,100,1,90,1
20200056,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,B,,,E,E,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,766,27,3.2,67.5,1
20200057,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,B,,,A,A,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,429,59,2.1,80,1
20200058,F,0,NA,IP (Y),SCHOOL Y,A,,A,,S,,,D,U,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,920,13,4.3,55,1
20200059,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,A,,B,,B,,,,C,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,394,62,1.9,81.25,1
20200060,F,0,NA,IP (Y),SCHOOL Y,A,,D,,A,,,C,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,1.9,78.75,1
20200061,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,C,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,608,42,2.6,75,1
20200062,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,C,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200063,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,1,100,1,90,1
20200064,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,E,,,B,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,708,33,3,71.25,1
20200065,M,0,NA,IP (X),SCHOOL X,B,,A,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,429,59,2.2,80,1
20200066,M,0,NA,IP (X),SCHOOL X,A,,D,,E,,,U,S,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,1002,5,5.4,36.25,1
20200067,M,0,NA,IP (X),SCHOOL X,B,,C,,B,,,,A,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,PA,,,,,B,A,Passed,572,46,2.2,76.25,1
20200068,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,DI,,,,,,A,A,Passed,1,100,1,90,1
20200069,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,328,69,1.9,82.5,1
20200070,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,,E,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,748,29,3.2,68.75,1
20200071,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,B,A,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.9,82.5,1
20200072,M,0,NA,IP (X),SCHOOL X,A,,B,,U,,,,U,E,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,984,7,5.2,41.25,1
20200073,M,0,NA,IP (X),SCHOOL X,A,,,A,A,,,,,,,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,1,100,1,90,2
20200074,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200075,M,0,NA,JAE Ordinary Admission,DAMAI SECONDARY SCHOOL,A,,D,,C,,,B,D,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.6,72.5,1
20200076,F,0,NA,IP (Y),SCHOOL Y,A,,B,,D,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200077,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,S,E,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,952,10,4.8,48.75,1
20200078,F,0,NA,IP (Y),SCHOOL Y,A,,C,,S,,,,D,E,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,960,9,4.8,47.5,1
20200079,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,B,,A,,A,,,B,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Passed,489,54,2.2,78.75,1
20200080,F,0,NA,IP (Y),SCHOOL Y,B,,B,,E,,,,B,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,B,A,Passed,727,31,3.1,70,1
20200081,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,61,94,1.2,88.75,1
20200082,M,0,NA,IP (X),SCHOOL X,B,,B,,S,,,D,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,875,17,4,60,1
20200083,F,0,NA,IP (Y),SCHOOL Y,B,,B,,U,,,,,,B,,,,,C,,,,,,,,,,,,,,,,,C,,,,,,,,,B,B,Passed,899,15,3.6,57.5,1
20200084,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,61,94,1.2,88.75,1
20200085,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200086,F,0,Repeat Yr2,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),B,,B,,U,,,,U,S,,,,EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Failed,1032,2,6,22.5,0
20200087,M,0,NA,IP (X),SCHOOL X,B,,B,,U,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,B,B,Failed,1032,2,6.1,22.5,1
20200088,F,0,NA,IP (Y),SCHOOL Y,A,,C,,D,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.6,73.75,2
20200089,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,B,B,Passed,121,88,1.1,87.5,1
20200090,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,227,78,1.4,85,1
20200091,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,B,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,538,49,2.3,77.5,1
20200092,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,B,C,,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,636,40,2.6,73.75,1
20200093,F,0,NA,IP (Y),SCHOOL Y,A,,B,,S,,,,S,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,965,9,4.8,46.25,1
20200094,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,2
20200095,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,227,78,1.4,85,1
20200096,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,,,B,,,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.8,73.75,1
20200097,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,,,,B,,,A,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200098,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,D,,,,S,,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,748,29,3.2,68.75,1
20200099,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200100,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.7,85,2
20200101,M,0,NA,IP (X),SCHOOL X,A,,B,,D,,,D,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200102,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,C,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,748,29,3.2,68.75,1
20200103,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,E,C,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,A,D,Passed,816,23,3.5,63.75,1
20200104,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,C,,S,,,,D,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,920,13,4.3,55,1
20200105,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200106,M,0,NA,IP (X),SCHOOL X,A,,D,,E,,,,C,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.7,61.25,1
20200107,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,C,,,,,,B,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,636,40,2.6,73.75,1
20200108,M,0,NA,JAE Ordinary Admission,SERANGOON GARDEN SECONDARY SCHOOL,B,,C,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,572,46,2.2,76.25,1
20200109,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200110,F,0,NA,IP (Y),SCHOOL Y,A,,B,,,,,,,,,B,,,,,,,C,,,,E,,,,,,A,,,,,,,,,,,,,A,C,Passed,708,33,2.8,71.25,1
20200111,F,0,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,B,B,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,1.9,78.75,1
20200112,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,538,49,2.4,77.5,1
20200113,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,,C,D,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.4,66.25,1
20200114,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,227,78,1.4,85,1
20200115,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,B,A,Passed,189,82,1.3,86.25,1
20200116,F,0,NA,IP (Y),SCHOOL Y,A,,D,,,,,,,,,,,U,,,,,,,,D,C,,,,,,U,,,,,,,,,,,,,A,A,Passed,974,8,4.5,43.75,1
20200117,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,1,100,1,90,1
20200118,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,61,94,1.2,88.75,2
20200119,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),A,,C,,A,,,E,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,676,36,2.8,72.5,1
20200120,M,0,NA,IP (X),SCHOOL X,B,,A,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,B,B,Passed,227,78,1.6,85,1
20200121,M,0,NA,IP (X),SCHOOL X,A,,C,,U,,,,U,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,960,9,4.6,47.5,1
20200122,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200123,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,C,C,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,636,40,2.6,73.75,1
20200124,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,121,88,1.2,87.5,2
