NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200125,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200126,F,0,NA,IP (Y),SCHOOL Y,A,,B,,D,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.9,61.25,1
20200127,M,0,NA,IP (X),SCHOOL X,A,,D,,C,,S,B,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.7,61.25,2
20200128,M,0,NA,IP (X),SCHOOL X,A,,B,,D,,,B,E,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,852,19,3.9,61.25,1
20200129,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,A,B,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,189,82,1.4,86.25,1
20200130,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,2
20200131,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,B,,,C,,,,,,D,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,766,27,3,67.5,1
20200132,F,0,NA,IP (Y),SCHOOL Y,A,,A,,E,,,,C,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,3,72.5,1
20200133,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,A,B,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200134,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,C,,,,,,,,B,,,D,,,,,,B,,,,,,,,,B,,,,,,,,,,,PA,,A,B,Passed,636,40,2.4,73.75,1
20200135,M,0,NA,IP (X),SCHOOL X,A,,C,,C,,,,B,S,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,899,15,3.9,57.5,1
20200136,F,0,NA,IP (Y),SCHOOL Y,A,,D,,U,,,U,S,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Failed,1026,3,5.9,26.25,2
20200137,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1,88.75,1
20200138,M,0,NA,IP (X),SCHOOL X,B,,A,,E,,,,S,,,,,B,,,,,,,,,C,,,,,,,,,,,,,,,,,,,B,A,Passed,816,23,3.8,63.75,1
20200139,M,0,NA,IP (X),SCHOOL X,A,,B,,D,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,608,42,2.6,75,1
20200140,F,259,Repeat Yr1,IP (Y),SCHOOL Y,B,,A,,U,,,,E,C,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,B,A,Passed,927,12,4.1,53.75,0
20200141,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,538,49,2.1,77.5,1
20200142,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,E,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,748,29,3.2,68.75,1
20200143,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,,,,B,,,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,328,69,1.9,82.5,1
20200144,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,1
20200145,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,UC,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200146,M,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,C,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.4,83.75,1
20200147,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,B,A,,,,,,,,,,,,,,B,,,,,,,,,,,,,,ME,,,,,B,A,Passed,280,73,1.6,83.75,1
20200148,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,B,,,E,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,884,16,3.9,58.75,2
20200149,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,C,,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200150,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,D,,U,,,U,U,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,A,A,Failed,1026,3,5.9,26.25,1
20200151,F,0,NA,JAE Ordinary Admission,WEST SPRING SECONDARY SCHOOL,A,,C,,B,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,1.9,80,2
20200152,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,B,Passed,328,69,1.7,82.5,2
20200153,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,1,100,1,90,2
20200154,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,1
20200155,F,234,NA,DSA (CCA),TEMASEK SECONDARY SCHOOL,A,,B,,A,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,1
20200156,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,A,,D,,B,,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,708,33,3,71.25,1
20200157,F,0,NA,IP (Y),SCHOOL Y,A,,,A,B,,,,,,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,328,69,1.7,82.5,1
20200158,M,0,NA,IP (X),SCHOOL X,B,,D,,U,,,E,U,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,B,A,Passed,1018,4,5.5,31.25,1
20200159,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,A,B,Failed,1031,3,6,23.75,1
20200160,M,0,NA,IP (X),SCHOOL X,A,,A,,B,,,S,,,,,,D,,,,,,,,C,,,,,,,,,,,,,,,,,,,,A,A,Passed,766,27,3.4,67.5,1
20200161,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,B,,,,,,E,,,,,E,,C,,,,,,,,,,,,,B,,,,,,,,,,,,,A,C,Passed,834,21,3.6,62.5,1
20200162,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,D,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,280,73,1.4,83.75,1
20200163,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,B,,B,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,429,59,2.1,80,1
20200164,M,0,NA,IP (X),SCHOOL X,A,,A,,B,,,,D,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,572,46,2.6,76.25,1
20200165,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,C,,C,,,S,C,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,834,21,3.7,62.5,1
20200166,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,,,A,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,2
20200167,M,0,NA,IP (X),SCHOOL X,A,,B,,E,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,636,40,2.8,73.75,1
20200168,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,C,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,636,40,2.6,73.75,1
20200169,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,280,73,1.4,83.75,1
20200170,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,328,69,1.7,82.5,1
20200171,F,0,NA,JAE Ordinary Admission,CHIJ SECONDARY (TOA PAYOH),B,,C,,B,,,E,B,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,B,A,Passed,636,40,2.7,73.75,1
20200172,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,C,,,C,B,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,A,B,Passed,489,54,2.1,78.75,2
20200173,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),A,,A,,D,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.3,78.75,1
20200174,F,0,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,S,,,,,,,B,,,S,,,,B,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,852,19,3.7,61.25,1
20200175,F,251,NA,DSA,SINGAPORE CHINESE GIRLS' SCHOOL,B,,A,,B,,,,,,,B,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,NA,Passed,429,59,2,80,2
20200176,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,U,E,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,D,Passed,1002,5,5.3,36.25,1
20200177,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,B,B,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200178,M,0,NA,IP (X),SCHOOL X,B,,C,,D,,,S,U,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,B,B,Passed,944,11,4.4,51.25,1
20200179,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,A,,B,,,,B,,,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,2
20200180,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,B,,,,B,,B,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,1.9,80,1
20200181,F,0,NA,IP (Y),SCHOOL Y,A,,D,,S,,,S,E,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,A,C,Passed,994,6,5.1,38.75,1
20200182,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,394,62,2,81.25,1
20200183,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,,,,B,,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,61,94,1.2,88.75,2
20200184,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,B,A,Passed,189,82,1.3,86.25,1
20200185,F,0,NA,IP (Y),SCHOOL Y,A,,B,,,,,,S,,B,,,S,,,,,,,,,,,,,,,A,,,,,,,,,,,,,A,A,Passed,909,14,3.8,56.25,1
20200186,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,A,,D,,C,,,S,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,927,12,4.3,53.75,1
20200187,F,0,NA,IP (Y),SCHOOL Y,A,,C,,C,,,,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,834,21,3.7,62.5,1
20200188,F,0,NA,JAE Ordinary Admission,FUHUA SECONDARY SCHOOL,A,,B,,C,,,D,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,727,31,3,70,1
20200189,M,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,A,,C,,A,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,1
20200190,M,0,NA,IP (X),SCHOOL X,B,,B,,C,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,608,42,2.4,75,1
20200191,M,0,NA,JAE Ordinary Admission,PEI HWA SECONDARY SCHOOL,B,,B,,D,,B,B,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,B,A,Passed,636,40,2.7,73.75,1
20200192,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,B,,B,,E,,,S,E,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,899,15,4.2,57.5,1
20200193,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,C,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200194,F,0,NA,JAE Ordinary Admission,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,C,,,B,E,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,816,23,3.7,63.75,1
20200195,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,A,,C,,B,,,C,B,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,538,49,2.1,77.5,1
20200196,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,E,C,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.9,61.25,1
20200197,F,0,NA,DSA (CCA),CLEMENTI TOWN SECONDARY SCHOOL,A,,B,,,,,,,,B,,,B,,B,,,,,,,,,,,,,A,,,,,,,,,,,,,A,B,Passed,394,62,1.8,81.25,1
20200198,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,D,,D,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,676,36,2.6,72.5,1
20200199,F,0,NA,JAE Ordinary Admission,ST. MARGARET'S SECONDARY SCHOOL,A,,B,,A,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,394,62,1.9,81.25,1
20200200,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,S,D,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,A,B,Passed,974,8,4.8,43.75,1
20200201,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,A,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200202,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,B,,A,,,,,,B,,,B,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200203,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,189,82,1.2,86.25,1
20200204,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200205,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,B,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,328,69,1.7,82.5,2
20200206,F,233,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,A,,B,,E,,,,U,U,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,A,B,Passed,997,6,5.1,37.5,1
20200207,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,B,,C,,,,C,,,,,C,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.6,73.75,1
20200208,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,328,69,1.7,82.5,2
20200209,F,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,A,,C,,S,,,,,,,,,C,,,,C,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,727,31,3,70,1
20200210,F,0,NA,IP (Y),SCHOOL Y,A,,B,,S,,,S,,,,,,D,,,,,,,,,,,,,,,,,A,,,,,,,,,,,A,B,Passed,944,11,4.3,51.25,2
20200211,M,0,NA,JAE Ordinary Admission,CHANGKAT CHANGI SECONDARY SCHOOL,B,,C,,A,,,A,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,ME,,,,,,B,A,Passed,189,82,1.1,86.25,1
20200212,M,0,NA,IP (X),SCHOOL X,B,,C,,C,,,E,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,748,29,3.1,68.75,1
20200213,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,,B,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,227,78,1.4,85,1
20200214,M,0,NA,IP (X),SCHOOL X,B,,B,,C,,,C,B,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,727,31,3.1,70,1
20200215,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200216,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,1,100,1,90,1
20200217,M,0,NA,IP (X),SCHOOL X,A,,A,,U,,,,,,,B,,,E,,C,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,834,21,3.9,62.5,1
20200218,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,S,E,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,PA,,A,A,Passed,816,23,3.7,63.75,1
20200219,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,C,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200220,F,0,NA,IP (Y),SCHOOL Y,A,,D,,U,,S,U,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1018,4,5.7,31.25,1
20200221,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,A,A,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200222,F,0,NA,IP (Y),SCHOOL Y,A,,C,,B,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,189,82,1.2,86.25,1
20200223,F,0,NA,JAE Ordinary Admission,WHITLEY SECONDARY SCHOOL,A,,U,,D,,,C,D,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3,61.25,1
20200224,M,0,NA,IP (X),SCHOOL X,A,,C,,A,,,C,C,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200225,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,DI,,,,A,A,Passed,1,100,1,90,1
20200226,M,0,NA,IP (X),SCHOOL X,A,,C,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.4,83.75,1
20200227,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200228,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,A,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,2.1,80,1
20200229,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1,88.75,1
20200230,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,D,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,538,49,2.3,77.5,1
20200231,M,0,NA,IP (X),SCHOOL X,B,,A,,C,,,,,,,B,,,E,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,636,40,2.9,73.75,1
20200232,M,0,NA,IP (X),SCHOOL X,A,A,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,,A,A,Passed,1,100,1,90,1
20200233,F,242,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,C,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,NA,Passed,636,40,2.6,73.75,1
20200234,F,0,NA,IP (Y),SCHOOL Y,A,A,,,A,,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,,,A,A,Passed,121,88,1.2,87.5,2
20200235,F,0,NA,IP (Y),SCHOOL Y,A,,C,,D,,,,C,C,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,782,26,3.2,66.25,2
20200236,F,0,NA,IP (Y),SCHOOL Y,A,,C,,B,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,572,46,2.3,76.25,2
20200237,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200238,F,243,NA,DSA (CCA),CRESCENT GIRLS' SCHOOL,A,,B,,U,,,,,,B,,,E,,D,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Passed,884,16,4.1,58.75,1
20200239,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,280,73,1.7,83.75,1
20200240,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,B,Passed,1,100,1,90,2
20200241,M,250,NA,DSA (CCA),SCHOOL X,A,,C,,D,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,A,E,Passed,980,7,4.9,42.5,1
20200242,M,248,NA,DSA (CCA),ST. JOSEPH'S INSTITUTION,A,,B,,A,,,,A,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,E,Passed,227,78,1.4,85,1
20200243,M,0,NA,IP (X),SCHOOL X,A,,A,,B,,,,,,,,,C,,B,,,,,,,,A,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.9,82.5,1
20200244,M,0,NA,IP (X),SCHOOL X,A,,B,,S,,,,U,,,,,D,,B,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,927,12,4.3,53.75,1
20200245,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,B,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,572,46,2.3,76.25,1
20200246,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,,B,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,572,46,2.3,76.25,1
