NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,KI,GP,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,JP2,SP2,MA1,PH1,CH1,EL1,EC1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,PW,MTL,P/F,RANK,%,MSG/GPA,PTS,NO OF CCA
20200247,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,B,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,121,88,1.2,87.5,1
20200248,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,C,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.1,78.75,1
20200249,F,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,A,,S,,B,,,C,C,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,A,A,Passed,727,31,2.3,70,1
20200250,F,0,NA,JAE Ordinary Admission,DUNMAN SECONDARY SCHOOL,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,121,88,1.2,87.5,1
20200251,M,215,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,A,,S,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,A,E,Failed,1046,1,5.9,18.75,1
20200252,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,C,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.8,73.75,1
20200253,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,B,A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,ME,,A,A,Passed,227,78,1.4,85,2
20200254,F,0,NA,IP (Y),SCHOOL Y,A,,C,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,A,A,Failed,1032,2,6,22.5,1
20200255,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,61,94,1,88.75,1
20200256,M,0,NA,JAE Ordinary Admission,YISHUN SECONDARY SCHOOL,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200257,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200258,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,572,46,2.6,76.25,1
20200259,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200260,F,0,NA,IP (Y),SCHOOL Y,B,,C,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,B,A,Passed,328,69,1.6,82.5,1
20200261,M,235,Repeat Yr1,DSA (CCA),NAN HUA HIGH SCHOOL,B,,E,,U,,,U,U,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,B,NA,Failed,1054,0,6.4,13.75,1
20200262,F,0,NA,IP (Y),SCHOOL Y,A,,D,,B,,,B,C,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,572,46,2.1,76.25,2
20200263,M,0,NA,IP (X),SCHOOL X,A,,C,,B,,,C,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.6,73.75,1
20200264,F,0,NA,IP (Y),SCHOOL Y,A,,C,,,,,,,,,,,S,,B,,,,,,,S,,,,,,S,,,,,,,,,,,,,A,B,Passed,960,9,4.4,47.5,1
20200265,F,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,A,,E,,E,,,,D,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,936,11,4.3,52.5,1
20200266,M,0,NA,IP (X),SCHOOL X,B,,E,,A,,A,A,,,,,,C,,,,,,,,,,,,,,,,,,,,,ME,,,,,,,B,A,Passed,394,62,1.6,81.25,1
20200267,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,A,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,B,Passed,394,62,1.9,81.25,1
20200268,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,61,94,1.2,88.75,1
20200269,M,246,NA,DSA,NAN HUA HIGH SCHOOL,B,,,A,B,,,,,,,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Passed,280,73,1.6,83.75,2
20200270,M,0,NA,IP (X),SCHOOL X,A,,B,,C,,,B,A,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,B,Passed,280,73,1.7,83.75,1
20200271,M,0,NA,IP (X),SCHOOL X,B,,B,,D,,,,C,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,782,26,3.3,66.25,1
20200272,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,U,,,,C,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,816,23,3.7,63.75,1
20200273,M,0,NA,IP (X),SCHOOL X,A,,,A,,,,,,,,B,,,C,,A,,,,,,,,,,,,A,,,,,,,,,,,,,A,B,Passed,227,78,1.6,85,2
20200274,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,DI,,,,A,A,Passed,61,94,1.2,88.75,2
20200275,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,A,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,2
20200276,M,0,NA,IP (X),SCHOOL X,A,,C,,B,,,,A,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,538,49,2.3,77.5,1
20200277,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,D,,S,,,,S,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,974,8,5,43.75,1
20200278,F,0,NA,IP (Y),SCHOOL Y,A,,A,,B,,,,B,B,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200279,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,A,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,,ME,,,,,,A,A,Passed,1,100,1,90,3
20200280,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",A,,B,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,E,Passed,429,59,1.9,80,2
20200281,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,B,,D,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,UC,,,,,A,A,Passed,538,49,2.3,77.5,1
20200282,M,0,NA,IP (X),SCHOOL X,A,A,,,B,,,,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,A,Passed,328,69,1.7,82.5,1
20200283,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,C,,S,,,B,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,807,24,3.4,65,1
20200284,M,0,NA,IP (X),SCHOOL X,A,,B,,E,,,,S,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,909,14,4.3,56.25,2
20200285,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,121,88,1.2,87.5,1
20200286,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,,B,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,A,A,Passed,328,69,1.7,82.5,2
20200287,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,B,,,,,B,,,,,,,,,,B,,,,,,,,,,,,,,,,,,A,A,Passed,572,46,2.6,76.25,1
20200288,F,252,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,A,,B,,D,,,,C,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,727,31,3,70,1
20200289,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,A,,B,,B,,,,C,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,676,36,2.8,72.5,1
20200290,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,61,94,1.2,88.75,1
20200291,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,C,Passed,280,73,1.7,83.75,1
20200292,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,572,46,2.6,76.25,1
20200293,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,B,,D,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,2.1,80,1
20200294,F,0,NA,JAE Ordinary Admission,CRESCENT GIRLS' SCHOOL,A,,D,,E,,C,D,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,B,Passed,748,29,3,68.75,1
20200295,F,0,NA,IP (Y),SCHOOL Y,A,,C,,D,,C,U,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,971,8,4.8,45,1
20200296,F,0,NA,IP (Y),SCHOOL Y,A,,B,,E,,,,E,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.9,61.25,1
20200297,F,0,NA,IP (Y),SCHOOL Y,B,,B,,A,,,B,A,,,,,,,,,,,A,,,,,,,,,,,,,,,,,PA,,,,,B,A,Passed,189,82,1.3,86.25,1
20200298,M,0,NA,DSA,NAN CHIAU HIGH SCHOOL,A,,B,,A,,A,A,,,,,,A,,,,,,,,,,,,,,,,,,,,,DI,,,,,,,A,A,Passed,61,94,1,88.75,1
20200299,M,247,NA,DSA (CCA),NAN HUA HIGH SCHOOL,B,,C,,B,,,A,B,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,538,49,2.2,77.5,1
20200300,M,0,NA,IP (X),SCHOOL X,B,,B,,U,,,,E,,,,,C,,,,,,,,,C,,,,,,,,,,,,,,,,,,,B,B,Passed,899,15,4.2,57.5,1
20200301,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,A,,C,,E,,,B,E,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,875,17,3.9,60,1
20200302,F,0,NA,IP (Y),SCHOOL Y,A,,A,,C,,,,A,B,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,429,59,2.1,80,1
20200303,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,B,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,328,69,1.7,82.5,1
20200304,F,0,NA,IP (Y),SCHOOL Y,A,,C,,E,,,,D,C,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,A,A,Passed,834,21,3.7,62.5,1
20200305,F,0,NA,JAE Ordinary Admission,YISHUN TOWN SECONDARY SCHOOL,A,,B,,A,,,B,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200306,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200307,M,0,NA,IP (X),SCHOOL X,A,,C,,C,,,D,C,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,782,26,3.2,66.25,1
20200308,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),A,,C,,B,,,C,D,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,708,33,2.8,71.25,1
20200309,F,0,NA,IP (Y),SCHOOL Y,B,,B,,U,,,,,,C,,,C,,E,,,,,,,,,,,,,,,,,,,,,,,,,,B,C,Passed,899,15,4.2,57.5,1
20200310,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,E,,,D,B,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,636,40,2.8,73.75,1
20200311,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200312,F,0,NA,IP (Y),SCHOOL Y,B,,B,,C,,,C,D,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,B,A,Passed,782,26,3.3,66.25,1
20200313,M,0,NA,IP (X),SCHOOL X,A,,B,,E,,,,U,U,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,984,7,5.2,41.25,1
20200314,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,61,94,1,88.75,1
20200315,M,0,NA,IP (X),SCHOOL X,B,,B,,E,,,,C,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,727,31,3.1,70,1
20200316,F,0,NA,IP (Y),SCHOOL Y,B,,A,,A,,,,,,,A,,,,,A,,,,,,B,,,,,,,,,,,,,,,,,,,B,A,Passed,121,88,1.3,87.5,1
20200317,F,0,NA,IP (Y),SCHOOL Y,A,,D,,A,,A,A,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.2,85,1
20200318,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,B,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200319,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,C,C,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,572,46,2.3,76.25,2
20200320,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,ME,,,,,,A,A,Passed,1,100,1,90,1
20200321,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,DI,,,,,A,A,Passed,61,94,1.2,88.75,1
20200322,F,0,NA,IP (Y),SCHOOL Y,A,,C,,A,,,A,B,,,,,S,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,A,A,Passed,538,49,2.3,77.5,1
20200323,M,253,NA,DSA,CATHOLIC HIGH SCHOOL,A,,A,,D,,,,,,,B,,,C,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,572,46,2.6,76.25,2
20200324,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,B,B,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,636,40,2.8,73.75,1
20200325,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,D,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,944,11,4.6,51.25,1
20200326,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,,B,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,394,62,1.9,81.25,1
20200327,F,0,NA,IP (Y),SCHOOL Y,A,,B,,U,,,,,,B,,,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,816,23,3.7,63.75,1
20200328,F,0,NA,IP (Y),SCHOOL Y,B,,C,,A,,,B,A,,,,,,,,,C,,,,,,,,,,,,,,,,,,,UC,,,,,B,A,Passed,394,62,1.8,81.25,1
20200329,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,A,,C,,,,,,,,,,,S,,,,C,,,,C,,,,,,,A,,,,,,,,,,,,,A,A,Passed,834,21,3.3,62.5,1
20200330,F,0,NA,IP (Y),SCHOOL Y,A,,D,,A,,,,B,A,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.2,85,1
20200331,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,A,,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,189,82,1.4,86.25,1
20200332,M,0,NA,IP (X),SCHOOL X,A,,A,,U,,,,C,E,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,899,15,4.3,57.5,1
20200333,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,PA,,,,,A,C,Passed,61,94,1,88.75,2
20200334,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,1.9,80,1
20200335,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,121,88,1.2,87.5,1
20200336,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,A,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,1,100,1,90,1
20200337,F,242,NA,DSA,SWISS COTTAGE SECONDARY SCHOOL,A,,A,,B,,,,,,,A,,,E,,B,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,429,59,2.3,80,2
20200338,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,1,100,1,90,2
20200339,M,0,NA,IP (X),SCHOOL X,A,,C,,U,,,,,,,,,D,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,971,8,4.1,45,1
20200340,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,B,C,,,,,,,,,,,,,,B,,,,,,,,,,,,UC,,,,,,,A,A,Passed,328,69,1.9,82.5,1
20200341,F,0,NA,IP (Y),SCHOOL Y,A,,D,,E,,,S,U,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,984,7,5.2,41.25,2
20200342,M,0,NA,IP (X),SCHOOL X,A,,B,,U,,,U,U,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,D,Failed,1046,1,6.3,18.75,1
20200343,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,A,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,61,94,1,88.75,2
20200344,F,0,NA,DSA (CCA),METHODIST GIRLS' SCHOOL (SECONDARY),A,,B,,A,,,,B,B,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,2.1,80,2
20200345,M,0,NA,IP (X),SCHOOL X,B,,C,,U,,,U,S,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Failed,1026,3,6,26.25,1
20200346,M,254,Repeat Yr2,IP (X),SCHOOL X,C,,MC,,EX,,,MC,EX,,,,,,,,,,,,,,,,,,,,,,,,EX,,,,,,,,,C,S,NA,1060,0,3,7.5,0
20200347,F,0,NA,IP (Y),SCHOOL Y,A,,B,,C,,,,D,D,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,766,27,3.2,67.5,1
20200348,M,0,NA,IP (X),SCHOOL X,A,,B,,S,,,,E,D,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,909,14,4.3,56.25,1
20200349,M,0,NA,IP (X),SCHOOL X,B,,A,,B,,,,B,B,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,B,A,Passed,429,59,2,80,1
20200350,M,0,NA,IP (X),SCHOOL X,A,,B,,E,,,,,,B,,,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,A,A,Passed,489,54,2.3,78.75,1
20200351,M,0,NA,IP (X),SCHOOL X,B,,B,,A,,,B,A,,,,,,,,,,,,,,C,,,,,,,,,,,,,UC,,,,,,B,A,Passed,328,69,1.8,82.5,1
20200352,M,0,NA,JAE Ordinary Admission,BOWEN SECONDARY SCHOOL,A,,B,,A,,,A,B,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,A,E,Passed,328,69,1.9,82.5,1
20200353,M,0,NA,IP (X),SCHOOL X,A,,B,,A,,,A,A,,,,,,,,,,,,,,,,,A,,,,,,,,,,,ME,,,,,A,A,Passed,61,94,1,88.75,1
20200354,M,0,NA,DSA (CCA),BUKIT PANJANG GOVT. HIGH SCHOOL,A,,B,,A,,,,A,B,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200355,M,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,B,,D,,B,,,B,B,,,,,C,,,,,,,,,,,,,,,,,,,,,,PA,,,,,,B,C,Passed,608,42,2.2,75,1
20200356,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,C,,,,,,,,,,,,,,,,,,,,,PA,,,,,,,A,A,Passed,121,88,1.4,87.5,2
20200357,M,259,Repeat Yr1,IP (X),SCHOOL X,,,B,,U,,,,,,D,,,,,,,E,,,,,,,,,,,,,,,S,,,,,,,,,,A,Passed,1012,4,5.4,33.75,1
20200358,F,0,NA,IP (Y),SCHOOL Y,A,,C,,A,,,A,A,,,,,A,,,,,,,,,,,,,,,,,,,,,ME,,,,,,,A,A,Passed,121,88,1,87.5,1
20200359,F,0,NA,IP (Y),SCHOOL Y,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,ME,,,,,A,A,Passed,61,94,1.2,88.75,1
20200360,F,0,NA,IP (Y),SCHOOL Y,A,,B,,D,,,E,E,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,A,A,Passed,852,19,3.9,61.25,1
20200361,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,A,,A,,A,,,,A,A,,,,B,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,A,Passed,61,94,1.2,88.75,1
20200362,M,0,NA,IP (X),SCHOOL X,A,,B,,D,,,,C,C,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,782,26,3.4,66.25,1
20200363,M,0,NA,IP (X),SCHOOL X,A,,B,,B,,,,A,B,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,227,78,1.4,85,1
20200364,M,0,NA,IP (X),SCHOOL X,A,,A,,A,,,A,A,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,A,A,Passed,61,94,1.2,88.75,1
20200365,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,B,A,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,280,73,1.7,83.75,1
20200366,M,0,NA,IP (X),SCHOOL X,A,,D,,D,,,U,D,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,927,12,4.3,53.75,0
20200367,F,0,NA,IP (Y),SCHOOL Y,A,,B,,B,,,B,B,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,429,59,1.9,80,1
20200368,F,0,NA,IP (Y),SCHOOL Y,A,,B,,A,,,,B,,,,,B,,C,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,Passed,394,62,1.9,81.25,1
20200369,F,0,NA,IP (Y),SCHOOL Y,B,,B,,,,,,,,B,,,E,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,B,A,Passed,766,27,3.1,67.5,2
20200370,M,0,NA,JAE Ordinary Admission,TANJONG KATONG SECONDARY SCHOOL,A,,B,,E,,,,B,B,B,,,,,,,,,,,,,,,,,,,,,,,,,,,ME,,,,A,S,Passed,572,46,2.6,76.25,1
20200371,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,A,,B,,A,,,A,A,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,B,Passed,227,78,1.7,85,1
20200372,M,0,NA,IP (X),SCHOOL X,B,,A,,B,,,,B,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,Passed,489,54,2.2,78.75,1
20200373,M,0,NA,IP (X),SCHOOL X,A,,C,,U,,,,S,E,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,Passed,980,7,5.2,42.5,1
